current_rank,ticker,name,sector,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,ONIT,ONITY GROUP INC,Financials,1,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRVI,TREVI THERAPEUTICS,Health Care,2,18.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,3,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LIVN,LIVANOVA PLC,Health Care,4,81.529999,,1,80.779999,0.00928448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CF,CF Industries,Materials,5,117.580002,,11,120.099998,-0.02098248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,OFRM,ONCE UPON A FARM PBC,Consumer Staples,6,17.66,,19,17.450001,0.01203433,,,,47,17.93,,22,17.879999,0.00279648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MLYS,MINERALYS THERAPEUTICS,Health Care,7,26.465,,4,27.049999,-0.02162658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,27.209999,,,,,,,,,,
8,FUBO,FUBOTV CLASS A,Communication,8,9.636,,2,9.695,-0.00608561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FOR,FORESTAR GROUP INC,Real Estate,9,29.285,,5,29.174999,0.00377039,,,,,,,,,,15,29.219999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GENB,GENERATE BIOMEDICINES INC,Health Care,10,15.33,,3,15.09,0.01590457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DIBS,1STDIBS COM INC,Consumer Discretionary,11,4.8,,6,4.85,-0.01030928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SNY,Sanofi - American Depositary Shares,,12,43.974998,,8,43.709999,0.00606266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LHX,L3Harris,Industrials,13,286.790009,,9,290.630005,-0.01321266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MCD,McDonald's,Consumer Discretionary,14,272.785004,,23,275.660004,-0.01042951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,OTIS,Otis Worldwide,Industrials,15,72.800003,,22,73.970001,-0.01581720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,73.199997,,,,,,,,,,
16,AXP,American Express,Financials,16,340.220001,,10,344.070007,-0.01118960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,17,38.18,,12,37.869999,0.00818593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,OVLY,OAK VALLEY BANCORP,Financials,18,33.764999,,16,33.689999,0.00222618,,,,,,,,,,,,,,,,,,,,,,15,33.869999,,,,,,,,,,,,,,,,,,,,,,
19,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,19,9.56,,7,9.52,0.00420168,,,,,,,34,9.48,,14,9.57,-0.00940439,,,,,,,,,,,,,,,,,,,,,,26,9.27,,,,,42,9.43,,,,
20,RYZ,RYERSON HOLDING,Materials,20,28.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LNN,LINDSAY,Industrials,21,114.43,,13,115.849998,-0.01225721,,,,11,115.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KROS,KEROS THERAPEUTICS,Health Care,22,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TK,TEEKAY CORPORATION CORP LTD,Energy,23,12.205,,,,,50,11.31,,,,,9,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CV,CAPSOVISION INC,Health Care,24,6.84,,14,6.86,-0.00291545,,,,,,,,,,38,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SWX,SOUTHWEST GAS HOLDINGS,Utilities,25,92.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PK,PARK HOTELS RESORTS INC,Real Estate,26,15.055,,18,14.845,0.01414618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,27,12.38,,17,12.335,0.00364816,44,12.23,0.00858545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BANF,BANCFIRST CORP,Financials,28,115.379997,,47,114.309998,0.00936050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CLOV,CLOVER HEALTH INVESTMENTS CLASS A,Health Care,29,4.4995,,20,4.54,-0.00892070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RPRX,Royalty Pharma plc - Class A Ordinary Shares,,30,58.884998,,21,59.220001,-0.00565692,,,,7,57.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GDOT,GREEN DOT CLASS A,Financials,31,13.485,,25,13.445,0.00297508,1,13.42,0.00186289,,,,,,,,,,5,13.475,,,,,,,,,,,,,,,,,21,13.375,,,,,,,,,,,,,
32,VALU,VALUE LINE INC,Financials,32,37.5,,24,37.8106,-0.00821463,2,39.990002,-0.05449867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
