current_rank,ticker,name,sector,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,GM,General Motors,Consumer Discretionary,1,82.129997,,,,,,,,,,
2,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,2,9.13,,8,9.2,-0.00760870,,,,,,
3,ALLE,Allegion,Industrials,3,140.050003,,,,,,,,,,
4,CNR,CORE NATURAL RESOURCES INC,Energy,4,87.525002,,,,,,,,,,
5,PNRG,PRIMEENERGY RESOURCES CORP,Energy,5,193.395004,,4,189.860001,0.01861900,,,,,,
6,DVN,Devon Energy,Energy,6,44.860001,,25,44.099998,0.01723363,,,,,,
7,INVX,INNOVEX INTERNATIONAL INC,Energy,7,27.190001,,,,,,,,,,
8,TXT,Textron,Industrials,8,91.675003,,,,,,,,,,
9,CBOE,Cboe Global Markets,Financials,9,282.024994,,,,,,,,,,
10,PHAT,PHATHOM PHARMACEUTICALS INC,Health Care,10,11.7,,,,,,,,,,
11,PCAR,Paccar,Industrials,11,131.110001,,,,,,,,,,
12,SRI,STONERIDGE INC,Consumer Discretionary,12,7.39,,,,,,,,,,
13,ICE,Intercontinental Exchange,Financials,13,142.535004,,,,,,,,,,
14,DGX,Quest Diagnostics,Health Care,14,209.990005,,,,,,,,47,210.679993,
15,EXE,Expand Energy,Energy,15,93.169998,,,,,,,,,,
16,HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,16,9.655,,,,,,,,,,
17,RCUS,ARCUS BIOSCIENCES INC,Health Care,17,29.98,,,,,,,,,,
18,SPOK,SPOK HOLDINGS INC,Communication,18,10.65,,,,,,,,,,
19,TWI,TITAN INTERNATIONAL INC,Industrials,19,7.95,,,,,,,,,,
20,OIS,OIL STATES INTERNATIONAL INC,Energy,20,8.72,,20,8.58,0.01631702,,,,31,8.43,
21,CDRE,CADRE HOLDINGS INC,Industrials,21,29.93,,15,29.17,0.02605417,,,,,,
22,MGPI,MGP INGREDIENTS INC,Consumer Staples,22,18.1,,21,17.91,0.01060860,,,,48,17.860001,
23,LYB,LyondellBasell,Materials,23,62.279999,,,,,,,,,,
24,NTGR,NETGEAR INC,Information Technology,24,24.620001,,,,,,,,,,
25,ARTV,ARTIVA BIOTHERAPEUTICS INC,Health Care,25,10.02,,,,,,,,,,
26,VTOL,BRISTOW GROUP INC,Energy,26,45.080002,,19,45.09,-0.00022173,,,,19,44.169998,
27,APA,APA Corporation,Energy,27,36.18,,22,35.77,0.01146212,,,,,,
28,GNE,GENIE ENERGY LTD CLASS B,Utilities,28,14.53,,,,,,,,,,
29,XP,XP Inc. - Class A Common Stock,,29,17.299999,,,,,,,,,,
30,DUK,Duke Energy,Utilities,30,127.919998,,,,,,,,,,
31,SWK,Stanley Black & Decker,Industrials,31,89.269997,,,,,,,,,,
32,MGEE,MGE ENERGY INC,Utilities,32,82.989998,,,,,,,,,,
33,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,33,51.535,,,,,,,,17,51.200001,
34,GWRS,GLOBAL WATER RESOURCES INC,Utilities,34,7.16,,,,,,,,,,
35,UVV,UNIVERSAL CORP,Consumer Staples,35,53.75,,,,,,,,,,
36,AKAM,Akamai Technologies,Information Technology,36,124.300003,,,,,,,,,,
37,WHD,CACTUS INC CLASS A,Energy,37,56.0,,,,,,,,,,
38,CHRW,C.H. Robinson,Industrials,38,207.350006,,,,,27,205.800003,,,,
39,MRK,Merck & Co.,Health Care,39,127.519997,,,,,,,,30,127.5,
40,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,40,327.779999,,,,,,,,,,
41,AMGN,Amgen,Health Care,41,366.049988,,,,,34,364.170013,,,,
42,ARKO,ARKO,Consumer Discretionary,42,8.18,,,,,,,,,,
43,ASIX,ADVANSIX INC,Materials,43,21.85,,,,,,,,,,
44,MATV,MATIV HOLDINGS INC,Materials,44,8.125,,,,,,,,,,
45,TFIN,TRIUMPH FINANCIAL INC,Financials,45,81.620003,,,,,,,,,,
46,LE,LAND END INC,Consumer Discretionary,46,12.03,,,,,,,,,,
47,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,47,66.139999,,,,,36,65.739998,,,,
48,INR,INFINITY NATURAL RESOURCES INC CLA,Energy,48,13.615,,,,,,,,,,
49,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,49,16.290001,,,,,,,,,,
50,HMH,HMH HOLDING INC CLASS A,Energy,50,21.049999,,,,,,,,,,
