current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,1,228.720001,,,,,,,,,,,,,,,,,,,
2,HTB,HOMETRUST BANCSHARES INC,Financials,2,49.584999,,,,,,,,,,,,,,,,,,,
3,ZBH,Zimmer Biomet,Health Care,3,92.794998,,,,,,,,,,,,,,,,,,,
4,EXR,Extra Space Storage,Real Estate,4,149.929993,,16,147.669998,0.01530436,,,,,,,,,,,,,,,
5,TCOM,Trip.com Group Limited - American Depositary Shares,,5,44.240002,,,,,,,,,,,,,,,,,,,
6,TGTX,TG THERAPEUTICS INC,Health Care,6,56.481998,,41,56.040001,0.00788717,,,,,,,,,,,,,,,
7,KVUE,Kenvue,Consumer Staples,7,19.405001,,34,19.254999,0.00779029,,,,,,,,,,,,,,,
8,CENT,CENTRAL GARDEN AND PET,Consumer Staples,8,43.98,,,,,,,,,,,,,,,,,,,
9,PKBK,PARKE BANCORP INC,Financials,9,33.41,,,,,,,,,,,,,,,,,,,
10,TW,Tradeweb Markets Inc. - Class A Common Stock,,10,101.605003,,,,,,,,,,,,,,,,,,,
11,NNI,NELNET INC CLASS A,Financials,11,134.419998,,,,,,,,,,,,,,,,,12,134.279999,
12,TEL,TE Connectivity,Information Technology,12,204.869995,,,,,,,,,,,45,209.089996,,17,203.169998,0.02913815,37,203.309998,-0.00068860
13,INCY,Incyte,Health Care,13,119.470001,,,,,,,,,,,,,,,,,,,
14,CZR,"Caesars Entertainment, Inc. - Common Stock",,14,30.014999,,,,,,,,5,29.940001,,,,,,,,,,
15,FNLC,FIRST BANCORP INC,Financials,15,34.599998,,22,34.98,-0.01086341,,,,,,,,,,,,,,,
16,KMPR,KEMPER CORP,Financials,16,29.610001,,11,28.790001,0.02848211,,,,,,,,,,,,,,,
17,STE,Steris,Health Care,17,218.744995,,,,,,,,,,,,,,,,,,,
18,SMHI,SEACOR MARINE HOLDINGS INC,Energy,18,8.01,,,,,,,,,,,,,,,,,,,
19,NKSH,NATIONAL BANKSHARES INC,Financials,19,37.73,,,,,,,,,,,,,,,,,,,
20,ESRT,EMPIRE STATE REALTY REIT INC TRUST,Real Estate,20,5.69,,,,,,,,,,,,,,,,,,,
21,GLRE,GREENLIGHT CAPITAL LTD CLASS A,Financials,21,17.075001,,,,,,,,,,,,,,,,,35,17.07,
22,BRCB,BLACK ROCK COFFEE BAR INC CLASS A,Consumer Discretionary,22,8.26,,,,,,,,,,,,,,,,,,,
23,WAY,WAYSTAR HOLDING CORP,Health Care,23,23.174999,,,,,,,,,,,,,,,,,,,
24,GPC,Genuine Parts Company,Consumer Discretionary,24,128.324997,,,,,,,,,,,,,,,,,,,
25,CBRE,CBRE Group,Real Estate,25,142.705002,,,,,,,,,,,,,,,,,,,
