current_rank,ticker,name,sector,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,PFE,Pfizer,Health Care,1,25.334999,,,,,,,,,,,,,,,,,,,,,,
2,OPCH,OPTION CARE HEALTH INC,Health Care,2,22.309999,,,,,,,,,,,,,,,,,,,,,,
3,DOLE,DOLE PLC,Consumer Staples,3,14.46,,,,,,,,,,,,,,,,,,,,,,
4,PG,Procter & Gamble,Consumer Staples,4,152.654999,,,,,,,,,,,,,,,,,,,,,,
5,CRM,Salesforce,Information Technology,5,181.800003,,11,173.550003,0.04753673,,,,,,,,,,,,,,,,,,
6,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,6,20.76,,,,,,,,,,,,,,,,,,,,,,
7,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,7,126.919998,,,,,,,,,,,,,,,,,,,,,,
8,TGLS,TECNOGLASS INC,Industrials,8,47.389999,,,,,,,,,,,,,,,,,,,,,,
9,ECL,Ecolab,Materials,9,282.774994,,,,,,,,,,,,,,,,,,,,,,
10,CLX,Clorox,Consumer Staples,10,100.525002,,,,,,,,,,,,,,,,,,,,,,
11,ALKT,ALKAMI TECHNOLOGY INC,Information Technology,11,18.02,,,,,,,,,,,,,,,,,,,,,,
12,NOW,ServiceNow,Information Technology,12,109.775002,,,,,,,,,,,,,,,,,,,,,,
13,CPB,The Campbell's Company - Common Stock,,13,23.2899,,,,,,,,,,,,,,,,,,,,,,
14,GRMN,Garmin,Consumer Discretionary,14,248.774994,,,,,,,,,,,,,,,,,,,,29,249.559998,
15,CI,Cigna,Health Care,15,296.11499,,44,291.089996,0.01726268,,,,,,,,,,,,,,,,,,
16,BL,BLACKLINE INC,Information Technology,16,31.73,,8,30.66,0.03489889,,,,,,,,,,,,,,,,,,
