current_rank,ticker,name,sector,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,URBN,URBAN OUTFITTERS INC,Consumer Discretionary,1,75.010002,,,,,,,,,,,48,73.709999,,,,,,,,,,
2,TSCO,Tractor Supply,Consumer Discretionary,2,32.005001,,8,31.799999,0.00644660,,,,,,,,,,,,,,,,,,
3,TPR,"Tapestry, Inc.",Consumer Discretionary,3,148.139999,,17,147.389999,0.00508854,,,,,,,,,,,,,,,,,,
4,FOSL,FOSSIL GROUP INC,Consumer Discretionary,4,4.25,,,,,,,,,,,,,,,,,,,,,,
5,MC,MOELIS CLASS A,Financials,5,68.084999,,1,67.790001,0.00435164,,,,,,,,,,,,,,,,,,
6,VICI,Vici Properties,Real Estate,6,27.355,,,,,,,,,,,,,,,,,,,,9,26.870001,
7,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,7,43.52,,25,42.950001,0.01327122,13,43.02,-0.00162713,,,,,,,,,,,,,,,
8,WY,Weyerhaeuser,Real Estate,8,24.594999,,,,,,,,,,,,,,,,,,,,,,
9,RGR,STURM RUGER INC,Consumer Discretionary,9,38.84,,,,,,,,,,,,,,,,,,,,,,
10,MAR,Marriott International,Consumer Discretionary,10,378.480011,,3,383.059998,-0.01195632,,,,,,,,,,,,,,,,,,
11,ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,11,49.759998,,,,,,,,,,,,,,,,,,,,,,
12,WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,12,2.785,,11,2.72,0.02389706,,,,,,,27,2.685,,,,,19,2.71,,,,
13,SYF,Synchrony Financial,Financials,13,76.269997,,,,,,,,,,,,,,,,,,,,,,
14,TMDX,TRANSMEDICS GROUP INC,Health Care,14,74.25,,,,,,,,,,,,,,,,,,,,,,
15,PKE,PARK AEROSPACE CORP,Industrials,15,34.5,,,,,,,,,,,,,,,,,,,,,,
16,SAM,BOSTON BEER INC CLASS A,Consumer Staples,16,187.410004,,7,183.520004,0.02119660,,,,,,,,,,,,,11,180.669998,,,,
17,TEL,TE Connectivity,Information Technology,17,208.839996,,5,207.559998,0.00616688,,,,,,,,,,,,,4,203.169998,,10,203.309998,-0.00068860
18,SBC,SBC MEDICAL GROUP HOLDINGS INC,Health Care,18,3.21,,6,3.19,0.00626959,,,,,,,,,,,,,,,,,,
19,PPL,PPL Corporation,Utilities,19,36.790001,,49,36.009998,0.02166073,12,36.279999,-0.00744214,,,,,,,,,,,,,,,
20,MLP,MAUI LAND AND PINEAPPLE INC,Real Estate,20,17.459999,,,,,,,,,,,,,,,,,,,,,,
21,FOX,Fox Corporation (Class B),Communication Services,21,51.880001,,,,,,,,,,,,,,,,,41,51.549999,,,,
22,SXT,SENSIENT TECHNOLOGIES CORP,Materials,22,124.389999,,,,,,,,,,,,,,,,,,,,,,
23,EGBN,EAGLE BANCORP INC,Financials,23,27.77,,14,28.15,-0.01349911,1,28.440001,-0.01019694,,,,,,,,,,,,,,,
24,ORGO,ORGANOGENESIS HOLDINGS INC CLASS A,Health Care,24,2.575,,37,2.55,0.00980392,,,,,,,,,,,,,,,,,,
25,NOC,Northrop Grumman,Industrials,25,554.820007,,12,547.22998,0.01386990,,,,,,,,,,,,,,,,,,
