current_rank,ticker,name,sector,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,PFE,Pfizer,Health Care,1,25.334999,,,,,,,,,,,,,,,,,,,,,,
2,OPCH,OPTION CARE HEALTH INC,Health Care,2,22.309999,,,,,,,,,,,,,,,,,,,,,,
3,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,3,20.76,,,,,,,,,,,,,,,,,,,,,,
4,CLX,Clorox,Consumer Staples,4,100.525002,,,,,,,,,,,,,,,,,,,,,,
5,PG,Procter & Gamble,Consumer Staples,5,152.654999,,,,,,,,,,,,,,,,,,,,,,
6,DOLE,DOLE PLC,Consumer Staples,6,14.46,,,,,,,,,,,,,,,,,,,,,,
7,ECL,Ecolab,Materials,7,282.774994,,,,,,,,,,,,,,,,,,,,,,
8,FISV,Fiserv,Financials,8,53.544998,,,,,,,,,,,,,,,,,,,,,,
9,PPG,PPG Industries,Materials,9,121.709999,,,,,,,,,,,,,,,,,,,,,,
10,UHS,Universal Health Services,Health Care,10,160.149994,,28,159.25,0.00565145,1,155.839996,0.02188144,,,,,,,,,,,,,,,
11,RMD,ResMed,Health Care,11,208.970001,,,,,,,,,,,,,,,,,,,,,,
12,OTIS,Otis Worldwide,Industrials,12,74.525002,,,,,,,,,,,,,,,,,,,,,,
13,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,13,126.919998,,,,,,,,,,,,,,,,,,,,,,
14,TGLS,TECNOGLASS INC,Industrials,14,47.389999,,,,,,,,,,,,,,,,,,,,,,
15,GRMN,Garmin,Consumer Discretionary,15,248.774994,,,,,,,,,,,,,,,,,,,,34,249.559998,
16,CI,Cigna,Health Care,16,296.11499,,,,,,,,,,,,,,,,,,,,,,
17,TAP,Molson Coors Beverage Company,Consumer Staples,17,42.959999,,41,41.150002,0.04398534,,,,,,,,,,,,,,,,,,
