current_rank,ticker,name,sector,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,ADSK,Autodesk,Information Technology,1,216.565002,,7,218.350006,-0.00817497
2,SONO,SONOS INC,Consumer Discretionary,2,15.1,,,,
3,EFX,Equifax,Industrials,3,179.470001,,44,177.080002,0.01349672
4,VRSN,Verisign,Information Technology,4,279.100006,,,,
5,MSFT,Microsoft,Information Technology,5,399.149994,,,,
6,FET,FORUM ENERGY TECHNOLOGIES INC,Energy,6,53.689999,,,,
7,NFBK,NORTHFIELD BANCORP INC,Financials,7,15.16,,,,
8,TALO,TALOS ENERGY INC,Energy,8,14.41,,,,
9,PODD,Insulet Corporation,Health Care,9,165.509995,,10,164.059998,0.00883821
10,AIR,AAR CORP,Industrials,10,139.755005,,,,
11,MUR,MURPHY OIL CORP,Energy,11,36.900002,,,,
12,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,12,20.004999,,3,20.110001,-0.00522138
13,FIVE,"Five Below, Inc. - Common Stock",,13,205.970001,,,,
14,TMUS,T-Mobile US,Communication Services,14,193.699997,,,,
15,CTVA,Corteva,Materials,15,87.385002,,34,87.300003,0.00097364
16,TAP,Molson Coors Beverage Company,Consumer Staples,16,41.285,,,,
17,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,17,33.375999,,25,33.310001,0.00198133
18,SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",,18,69.940002,,29,69.559998,0.00546297
19,OXY,Occidental Petroleum,Energy,19,55.355,,,,
20,KAI,KADANT INC,Industrials,20,309.484985,,2,311.01001,-0.00490346
21,NOG,NORTHERN OIL AND GAS INC,Energy,21,21.16,,,,
22,REPX,RILEY EXPLORATION PERMIAN INC,Energy,22,35.110001,,18,35.0,0.00314289
23,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,,23,245.949997,,,,
24,TNDM,TANDEM DIABETES CARE INC,Health Care,24,17.545,,36,17.08,0.02722482
25,HURN,HURON CONSULTING GROUP INC,Industrials,25,113.285004,,,,
26,SDRL,SEADRILL LTD,Energy,26,43.419998,,,,
27,GENI,GENIUS SPORTS LTD,Consumer Discretionary,27,6.745,,,,
28,BG,Bunge Global,Consumer Staples,28,120.279999,,,,
29,ABBV,AbbVie,Health Care,29,253.960007,,9,254.490005,-0.00208259
30,PLSE,PULSE BIOSCIENCES INC,Health Care,30,27.98,,,,
31,AMGN,Amgen,Health Care,31,366.01001,,,,
32,UPWK,UPWORK INC,Industrials,32,9.35,,,,
33,USPH,US PHYSICAL THERAPY INC,Health Care,33,73.550003,,,,
34,DJCO,DAILY JOURNAL CORP,Information Technology,34,606.409973,,,,
35,ULTA,Ulta Beauty,Consumer Discretionary,35,486.755005,,,,
36,AAPL,Apple Inc.,Information Technology,36,325.609985,,,,
37,COP,ConocoPhillips,Energy,37,116.169998,,24,114.709999,0.01272774
38,SMTI,SANARA MEDTECH INC,Health Care,38,25.0,,,,
39,AORT,ARTIVION INC,Health Care,39,25.105,,,,
40,MGPI,MGP INGREDIENTS INC,Consumer Staples,40,18.084999,,48,17.860001,0.01259787
41,WERN,WERNER ENTERPRISES INC,Industrials,41,46.490002,,,,
42,CRAI,CRA INTERNATIONAL INC,Industrials,42,170.830002,,,,
43,PLBC,PLUMAS BANCORP,Financials,43,60.900002,,,,
44,GILD,Gilead Sciences,Health Care,44,133.589996,,40,134.279999,-0.00513854
45,DLX,DELUXE CORP,Industrials,45,26.040001,,37,26.049999,-0.00038380
46,GEVO,GEVO INC,Energy,46,1.698,,,,
47,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,47,50.310001,,15,49.919998,0.00781256
48,SPFI,SOUTH PLAINS FINANCIAL INC,Financials,48,44.544998,,,,
49,WGO,WINNEBAGO INDUSTRIES INC,Consumer Discretionary,49,30.459999,,,,
50,CHCO,CITY HOLDING,Financials,50,135.639999,,,,
