current_rank,ticker,name,sector,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return
11,LARK,LANDMARK BANCORP INC,Financials,11,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CZWI,CITIZENS COMMUNITY BANCORP INC,Financials,12,22.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BFH,BREAD FINANCIAL HOLDINGS,Financials,13,110.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,113.160004,,,,,,,,,,,,,,,,,,,,,,
14,BFST,BUSINESS FIRST BANCSHARES INC,Financials,14,31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,OBT,ORANGE COUNTY BANCORP INC,Financials,15,38.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,39.389999,,,,,,,,,,,,,,,,,,,
16,QCOM,Qualcomm,Information Technology,16,168.740005,,,,,24,166.610001,,7,170.479996,-0.02270058,30,164.190002,0.03830924,23,164.779999,-0.00358051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MARA,MARA HOLDINGS,Information Technology,17,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WWW,WOLVERINE WORLD WIDE,Consumer Discretionary,18,20.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,20.950001,,,,,,,,,,,,,,,,,,,,,,
19,RGR,STURM RUGER,Consumer Discretionary,19,38.529999,,,,,,,,,,,,,,,,,49,38.314999,,,,,25,38.439999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BNED,BARNES AND NOBLE EDUCATION INC,Consumer Discretionary,20,12.72,,,,,,,,,,,,,,,,,29,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GM,General Motors,Consumer Discretionary,21,87.730003,,,,,,,,,,,,,,,,,,,,,,,,,,6,87.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BWB,BRIDGEWATER BANCSHARES INC,Financials,22,21.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,21.24,,,,
23,CVEO,CIVEO CORP,Industrials,23,34.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,33.674999,,27,34.005001,-0.00970451,,,,,,,,,,,,,,,,,,,,,,,,
24,SRI,STONERIDGE INC,Consumer Discretionary,24,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TMP,TOMPKINS FINANCIAL CORP,Financials,25,99.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,HNI,HNI,Industrials,26,49.66,,,,,,,,,,,,,,,,,22,49.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FCBC,FIRST COMMUNITY BANKSHARES INC,Financials,27,49.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HY,HYSTER YALE INC CLASS A,Industrials,28,35.790001,,,,,,,,,,,,,,12,34.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,IMMR,IMMERSION CORP,Information Technology,29,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCB,COASTAL FINANCIAL CORP,Financials,30,50.330002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CI,Cigna,Health Care,31,282.519989,,,,,15,283.049988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,RMBI,RICHMOND MUTUAL BANCORPORATION INC,Financials,32,16.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,33,16.799999,,,,,,,,,,,11,16.98,,41,16.950001,0.00176985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,17.76,,,,,,,,,,,,,
34,FCCO,FIRST COMMUNITY CORP,Financials,34,34.560001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ECHO,EchoStar,Communication Services,35,89.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,93.760002,,,,,,,,41,92.5,,,,,,,,,,,,,,,,
36,PKBK,PARKE BANCORP INC,Financials,36,34.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MDT,Medtronic,Health Care,37,94.160004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ORRF,ORRSTOWN FINANCIAL SERVICES INC,Financials,38,43.130001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WLTH,WEALTHFRONT,Financials,39,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MS,Morgan Stanley,Financials,40,217.705002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SRCE,1ST SOURCE,Financials,41,87.230003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,FBLA,FB BANCORP,Financials,42,15.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15.82,
43,ONEW,ONEWATER MARINE CLASS A INC,Consumer Discretionary,43,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,WASH,WASHINGTON TRUST BANCORP INC,Financials,44,40.259998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,FSUN,FIRSTSUN CAPITAL BANCORP,Financials,45,40.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,APH,Amphenol,Information Technology,46,82.739998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SNDX,SYNDAX PHARMACEUTICALS,Health Care,47,20.559999,,33,20.780001,-0.01058720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FRPH,FRP HOLDINGS INC,Real Estate,48,22.59,,,,,,,,,,,,,,,,,,,,49,22.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MDLN,Medline Inc. - Class A common stock,,49,36.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ZBRA,Zebra Technologies,Information Technology,50,362.73999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
