current_rank,ticker,name,sector,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,HST,Host Hotels & Resorts,Real Estate,1,24.059999,,5,23.940001,0.00501245
2,EL,Estée Lauder Companies (The),Consumer Staples,2,83.639999,,,,
3,SJM,J.M. Smucker Company (The),Consumer Staples,3,112.519997,,,,
4,TEL,TE Connectivity,Information Technology,4,203.169998,,10,203.309998,-0.00068860
5,TJX,TJX Companies,Consumer Discretionary,5,155.669998,,,,
6,RBKB,RHINEBECK BANCORP INC,Financials,6,17.540001,,,,
7,NTGR,NETGEAR INC,Information Technology,7,23.25,,,,
8,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,8,127.860001,,,,
9,AIR,AAR CORP,Industrials,9,135.850006,,,,
10,AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,10,19.629999,,32,19.745001,-0.00582436
11,SAM,BOSTON BEER INC CLASS A,Consumer Staples,11,180.669998,,,,
12,CNK,CINEMARK HOLDINGS INC,Communication,12,31.969999,,,,
13,PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,13,21.23,,,,
14,NWPX,NWPX INFRASTRUCTURE INC,Industrials,14,136.179993,,26,138.199997,-0.01461653
15,FEIM,FREQUENCY ELECTRONICS INC,Information Technology,15,66.720001,,,,
16,CV,CAPSOVISION INC,Health Care,16,6.75,,,,
17,TTGT,TECHTARGET INC,Communication,17,3.91,,,,
18,SFIX,STITCH FIX INC CLASS A,Consumer Discretionary,18,3.91,,,,
19,WOOF,PETCO HEALTH AND WELLNESS COMPANY,Consumer Discretionary,19,2.71,,,,
20,AIRS,AIRSCULPT TECHNOLOGIES INC,Health Care,20,4.78,,,,
21,EBAY,eBay Inc.,Consumer Discretionary,21,114.190002,,,,
22,DGX,Quest Diagnostics,Health Care,22,207.690002,,,,
23,LYV,Live Nation Entertainment,Communication Services,23,180.975006,,,,
24,BRCB,BLACK ROCK COFFEE BAR INC CLASS A,Consumer Discretionary,24,8.02,,,,
25,SIGI,SELECTIVE INSURANCE GROUP INC,Financials,25,96.739998,,,,
26,IRON,DISC MEDICINE INC,Health Care,26,74.379997,,,,
27,EIG,EMPLOYERS HOLDINGS INC,Financials,27,50.32,,,,
28,ALTO,ALTO INGREDIENTS INC,Materials,28,5.51,,,,
29,AMSF,AMERISAFE INC,Financials,29,34.290001,,,,
30,CGEM,CULLINAN THERAPEUTICS INC,Health Care,30,17.5,,,,
31,ALTI,ALTI GLOBAL INC CLASS A,Financials,31,3.56,,,,
32,MSFT,Microsoft,Information Technology,32,402.290009,,,,
33,ULTA,Ulta Beauty,Consumer Discretionary,33,488.079987,,,,
34,FISV,Fiserv,Financials,34,51.68,,,,
35,MDLZ,Mondelez International,Consumer Staples,35,60.27,,1,61.0,-0.01196721
36,AKAM,Akamai Technologies,Information Technology,36,123.129997,,,,
37,TRMB,Trimble Inc.,Information Technology,37,53.209999,,,,
38,INTU,Intuit,Information Technology,38,293.820007,,,,
39,CEG,Constellation Energy,Utilities,39,253.5,,,,
40,CMCSA,Comcast,Communication Services,40,23.780001,,,,
41,FOX,Fox Corporation (Class B),Communication Services,41,51.549999,,,,
42,FOXA,Fox Corporation (Class A),Communication Services,42,57.48,,,,
43,CTSH,Cognizant,Information Technology,43,44.639999,,,,
44,APA,APA Corporation,Energy,44,34.84,,,,
45,CME,CME Group,Financials,45,245.110001,,,,
46,Z,"Zillow Group, Inc. - Class C Capital Stock",,46,33.029999,,,,
47,ZM,"Zoom Communications, Inc. - Class A Common Stock",,47,90.910004,,,,
48,LOGI,Logitech International S.A. - Registered Shares,,48,101.779999,,2,102.830002,-0.01021106
49,TCOM,Trip.com Group Limited - American Depositary Shares,,49,44.189999,,,,
50,HAS,Hasbro,Consumer Discretionary,50,81.589996,,,,
