current_rank,ticker,name,sector,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,COP,ConocoPhillips,Energy,1,115.665001,,24,114.709999,0.00832536
2,MUR,MURPHY OIL CORP,Energy,2,36.825001,,,,
3,FIVE,"Five Below, Inc. - Common Stock",,3,204.139999,,,,
4,CLW,CLEARWATER PAPER CORP,Materials,4,16.424999,,,,
5,ULTA,Ulta Beauty,Consumer Discretionary,5,488.079987,,,,
6,GCO,GENESCO INC,Consumer Discretionary,6,37.150002,,25,36.970001,0.00486884
7,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,7,50.439999,,,,
8,NOG,NORTHERN OIL AND GAS INC,Energy,8,21.200001,,,,
9,SSNC,"SS&C Technologies Holdings, Inc. - Common Stock",,9,69.510002,,,,
10,FOXA,Fox Corporation (Class A),Communication Services,10,57.48,,28,57.619999,-0.00242969
11,FOX,Fox Corporation (Class B),Communication Services,11,51.549999,,,,
12,DPZ,Domino's,Consumer Discretionary,12,328.970001,,,,
13,BG,Bunge Global,Consumer Staples,13,120.650002,,,,
14,PODD,Insulet Corporation,Health Care,14,167.369995,,,,
15,AORT,ARTIVION INC,Health Care,15,25.35,,,,
16,LH,Labcorp,Health Care,16,281.531006,,41,283.359985,-0.00645461
17,TRMB,Trimble Inc.,Information Technology,17,53.209999,,,,
18,AIR,AAR CORP,Industrials,18,135.850006,,,,
19,TYL,Tyler Technologies,Information Technology,19,317.920013,,5,319.51001,-0.00497636
20,CTVA,Corteva,Materials,20,86.790001,,13,87.300003,-0.00584195
21,AHCO,ADAPTHEALTH CORP,Health Care,21,10.98,,,,
22,ROP,Roper Technologies,Information Technology,22,362.839996,,,,
23,JJSF,J AND J SNACK FOODS CORP,Consumer Staples,23,77.760002,,,,
24,MAT,"Mattel, Inc. - Common Stock",,24,14.14,,,,
25,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,25,20.0,,4,20.110001,-0.00546996
26,ADP,Automatic Data Processing,Industrials,26,255.240005,,,,
27,EG,Everest Group,Financials,27,379.089996,,,,
28,MGPI,MGP INGREDIENTS INC,Consumer Staples,28,18.209999,,,,
29,WTTR,SELECT WATER SOLUTIONS INC CLASS A,Energy,29,20.43,,,,
30,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,30,65.739998,,,,
31,WABC,WESTAMERICA BANCORPORATION,Financials,31,61.400002,,,,
32,CNS,COHEN & STEERS INC,Financials,32,82.495003,,,,
33,KOP,KOPPERS HOLDINGS INC,Materials,33,49.16,,,,
34,NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate,34,79.230003,,,,
35,YOU,CLEAR SECURE INC CLASS A,Information Technology,35,57.169998,,1,56.029999,0.02034623
36,JBHT,J.B. Hunt,Industrials,36,290.609985,,,,
37,ETD,ETHAN ALLEN INTERIORS INC,Consumer Discretionary,37,23.1,,,,
38,DLX,DELUXE CORP,Industrials,38,26.084999,,,,
39,TXRH,"Texas Roadhouse, Inc. - Common Stock",,39,196.259995,,,,
40,FRT,Federal Realty Investment Trust,Real Estate,40,125.574997,,,,
41,UE,URBAN EDGE PROPERTIES,Real Estate,41,23.514999,,,,
42,REG,Regency Centers,Real Estate,42,82.139999,,,,
43,KIM,Kimco Realty,Real Estate,43,26.035,,,,
44,CPAY,Corpay,Financials,44,369.350006,,,,
45,SIG,SIGNET JEWELERS LTD,Consumer Discretionary,45,90.529999,,,,
46,TMUS,T-Mobile US,Communication Services,46,195.639999,,,,
47,HIG,Hartford (The),Financials,47,140.5,,,,
48,ENSG,"The Ensign Group, Inc. - Common Stock",,48,172.039993,,,,
49,MDT,Medtronic,Health Care,49,83.330002,,,,
50,TRST,TRUSTCO BANK CORP,Financials,50,55.439999,,,,
