current_rank,ticker,name,sector,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return
1,MRVL,Marvell Technology,Information Technology,1,279.0400085449219,
2,AMAT,Applied Materials,Information Technology,2,585.8800048828125,
3,MU,Micron Technology,Information Technology,3,1051.77001953125,
4,KLAC,KLA Corporation,Information Technology,4,244.49000549316406,
5,LRCX,Lam Research,Information Technology,5,371.3299865722656,
6,APGE,APOGEE THERAPEUTICS INC,Health Care,6,132.8800048828125,
7,DFTX,DEFINIUM THERAPEUTICS INC,Health Care,7,36.18000030517578,
8,TWST,TWIST BIOSCIENCE CORP,Health Care,8,85.0,
9,TER,Teradyne,Information Technology,9,420.1199951171875,
10,LGND,LIGAND PHARMACEUTICALS INC,Health Care,10,279.44000244140625,
11,MGNI,MAGNITE INC,Communication,11,18.0,
12,PAYO,PAYONEER GLOBAL INC,Financials,12,7.059999942779541,
13,RXT,RACKSPACE TECHNOLOGY INC,Information Technology,13,7.269999980926514,
14,WYFI,WHITEFIBER INC,Information Technology,14,44.7599983215332,
15,CAST,"FreeCast, Inc. - Class A common stock",,15,8.260000228881836,
16,CRVO,CervoMed Inc. - Common Stock,,16,3.7200000286102295,
17,EHGO,Eshallgo Inc. - Class A Ordinary Shares,,17,4.0,
18,HQ,Horizon Quantum Holdings Ltd. - Class A Ordinary Shares,,18,33.38999938964844,
19,ICCM,IceCure Medical Ltd. - Ordinary Shares,,19,6.119999885559082,
20,INHD,Inno Holdings Inc. - Common Stock,,20,39.4900016784668,
21,QURE,uniQure N.V. - Ordinary Shares,,21,49.040000915527344,
22,SHAZ,"SharonAI Holdings, Inc. - Class A Common Stock",,22,84.36000061035156,
23,VSME,VS Media Holdings Limited - Class A Ordinary Shares,,23,2.2699999809265137,
24,ORKA,ORUKA THERAPEUTICS INC,Health Care,24,83.4000015258789,
25,SEZL,SEZZLE INC,Financials,25,151.61000061035156,
26,CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,26,46.459999084472656,
27,ALKS,ALKERMES,Health Care,27,48.06999969482422,
28,WDC,Western Digital,Information Technology,28,670.75,
29,ADI,Analog Devices,Information Technology,29,407.260009765625,
30,ALHC,ALIGNMENT HEALTHCARE INC,Health Care,30,21.65999984741211,
31,ICHR,ICHOR HOLDINGS LTD,Information Technology,31,92.19999694824219,
32,AMD,Advanced Micro Devices,Information Technology,32,519.8499755859375,
33,KYMR,KYMERA THERAPEUTICS INC,Health Care,33,98.25,
34,COHU,COHU INC,Information Technology,34,64.37000274658203,
35,KEEL,Keel Infrastructure Corp. - Common Stock,,35,6.599999904632568,
36,CORT,Corcept Therapeutics Incorporated - Common Stock,,36,79.8499984741211,
37,FRMI,Fermi Inc. - Common Stock,,37,8.6899995803833,
38,UCTT,ULTRA CLEAN HOLDINGS INC,Information Technology,38,111.62999725341797,
39,INTC,Intel,Information Technology,39,132.27999877929688,
40,SYRE,SPYRE THERAPEUTICS INC,Health Care,40,97.05000305175781,
41,MRNA,Moderna,Health Care,41,61.0,
42,OKTA,"Okta, Inc. - Class A Common Stock",,42,118.16000366210938,
43,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,43,17.229999542236328,
44,TXN,Texas Instruments,Information Technology,44,304.3599853515625,
45,ATRO,ASTRONICS CORP,Industrials,45,82.69999694824219,
46,PTCT,PTC THERAPEUTICS INC,Health Care,46,82.12999725341797,
47,WSBC,WESBANCO INC,Financials,47,37.279998779296875,
48,TVTX,TRAVERE THERAPEUTICS INC,Health Care,48,55.95000076293945,
49,NXPI,NXP Semiconductors,Information Technology,49,299.94000244140625,
50,AMKR,"Amkor Technology, Inc. - Common Stock",,50,86.72000122070312,
51,NTAP,NetApp,Information Technology,51,157.82000732421875,
52,NUVL,NUVALENT INC CLASS A,Health Care,52,123.44000244140625,
53,TXG,10X GENOMICS INC CLASS A,Health Care,53,31.8700008392334,
54,ON,ON Semiconductor,Information Technology,54,117.05999755859375,
55,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,55,272.0050048828125,
56,CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,56,77.05000305175781,
57,VCYT,VERACYTE INC,Health Care,57,53.790000915527344,
58,ACMR,ACM RESEARCH CLASS A INC,Information Technology,58,99.12000274658203,
59,SWKS,Skyworks Solutions,Information Technology,59,,
60,SNEX,STONEX GROUP INC,Financials,60,137.94000244140625,
61,ERAS,ERASCA INC,Health Care,61,15.069999694824219,
62,RYTM,RHYTHM PHARMACEUTICALS INC,Health Care,62,106.19000244140625,
63,LQDA,LIQUIDIA CORP,Health Care,63,74.04000091552734,
64,PENG,PENGUIN SOLUTIONS INC,Information Technology,64,66.95999908447266,
65,TNGX,TANGO THERAPEUTICS INC,Health Care,65,28.389999389648438,
66,KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology,66,127.0999984741211,
67,DAVE,DAVE INC CLASS A,Financials,67,317.9700012207031,
68,STX,Seagate Technology,Information Technology,68,1038.5899658203125,
69,AAL,"American Airlines Group, Inc. - Common Stock",,69,16.139999389648438,
70,FLEX,Flex Ltd.,Information Technology,70,151.85000610351562,
71,PCAR,Paccar,Industrials,71,116.77999877929688,
72,WWD,"Woodward, Inc. - Common Stock",,72,428.25,
73,MCHP,Microchip Technology,Information Technology,73,93.26000213623047,
74,ENTG,"Entegris, Inc. - Common Stock",,74,168.22000122070312,
75,ROKU,"Roku, Inc. - Class A Common Stock",,75,135.05499267578125,
76,PTGX,PROTAGONIST THERAPEUTICS INC,Health Care,76,118.95999908447266,
77,EBC,EASTERN BANKSHARES INC,Financials,77,20.979999542236328,
78,HOOD,Robinhood Markets,Financials,78,103.25,
79,ALAB,"Astera Labs, Inc. - Common Stock",,79,397.0199890136719,
80,EWTX,EDGEWISE THERAPEUTICS INC,Health Care,80,38.83000183105469,
81,CDW,CDW Corporation,Information Technology,81,130.05999755859375,
82,VSEC,VSE CORP,Industrials,82,213.67999267578125,
83,TECH,Bio-Techne,Health Care,83,56.2599983215332,
84,DLTR,Dollar Tree,Consumer Staples,84,113.41000366210938,
85,ALGM,"Allegro MicroSystems, Inc. - Common Stock",,85,55.52000045776367,
86,BRKR,Bruker Corporation - Common Stock,,86,55.11000061035156,
87,AVGO,Broadcom,Information Technology,87,380.1499938964844,
88,BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,88,66.83999633789062,
89,ICLR,ICON plc - Ordinary Shares,,89,142.6699981689453,
90,FSLR,First Solar,Information Technology,90,249.24000549316406,
91,KRYS,KRYSTAL BIOTECH INC,Health Care,91,340.2099914550781,
92,MKSI,MKS Inc. - Common Stock,,92,389.1700134277344,
93,GEHC,GE HealthCare,Health Care,93,63.720001220703125,
94,CVLT,COMMVAULT SYSTEMS INC,Information Technology,94,125.2300033569336,
95,ARCB,ARCBEST CORP,Industrials,95,143.74000549316406,
96,ROP,Roper Technologies,Information Technology,96,329.5400085449219,
97,CVCO,CAVCO INDUSTRIES INC,Consumer Discretionary,97,585.0,
98,CECO,CECO ENVIRONMENTAL CORP,Industrials,98,96.66999816894531,
99,TLN,Talen Energy Corporation - Common Stock,,99,411.9200134277344,
100,BEAM,BEAM THERAPEUTICS INC,Health Care,100,33.20000076293945,
101,ELVN,ENLIVEN THERAPEUTICS INC,Health Care,101,48.599998474121094,
102,COGT,COGENT BIOSCIENCES INC,Health Care,102,36.310001373291016,
103,VICR,VICOR CORP,Industrials,103,336.1199951171875,
104,EQIX,Equinix,Real Estate,104,1115.9300537109375,
105,IDXX,Idexx Laboratories,Health Care,105,541.3099975585938,
106,NVDA,Nvidia,Information Technology,106,200.0399932861328,
107,WULF,TERAWULF INC,Information Technology,107,28.780000686645508,
108,CSCO,Cisco,Information Technology,108,121.1500015258789,
109,MIDD,The Middleby Corporation - Common Stock,,109,163.77000427246094,
110,DUOL,"Duolingo, Inc. - Class A Common Stock",,110,132.17999267578125,
111,MPWR,Monolithic Power Systems,Information Technology,111,1423.760009765625,
112,GGAL,"Grupo Financiero Galicia S.A. - American Depositary Shares, Class B Shares underlying",,112,51.349998474121094,
113,OUST,OUSTER INC,Information Technology,113,45.15999984741211,
114,MIRM,MIRUM PHARMACEUTICALS INC,Health Care,114,111.06999969482422,
115,QCOM,Qualcomm,Information Technology,115,204.1300048828125,
116,LNTH,LANTHEUS HOLDINGS INC,Health Care,116,106.02999877929688,
117,FFIV,"F5, Inc.",Information Technology,117,389.5299987792969,
118,VRNS,VARONIS SYSTEMS INC,Information Technology,118,35.029998779296875,
119,NTRA,"Natera, Inc. - Common Stock",,119,234.75999450683594,
120,FTNT,Fortinet,Information Technology,120,148.0,
121,CART,Maplebear Inc. - Common Stock,,121,46.09000015258789,
122,BLLN,"BillionToOne, Inc. - Class A common stock",,122,104.27999877929688,
123,VECO,VEECO INSTRUMENTS INC,Information Technology,123,74.83999633789062,
124,VKTX,"Viking Therapeutics, Inc. - Common Stock",,124,34.810001373291016,
125,POOL,Pool Corporation - Common Stock,,125,194.83999633789062,
126,STRL,STERLING INFRASTRUCTURE INC,Industrials,126,892.25,
127,NTLA,INTELLIA THERAPEUTICS INC,Health Care,127,15.25,
128,CAR,"Avis Budget Group, Inc. - Common Stock",,128,190.4600067138672,
129,GH,GUARDANT HEALTH INC,Health Care,129,130.8300018310547,
130,VRTX,Vertex Pharmaceuticals,Health Care,130,468.4200134277344,
131,TTMI,TTM TECHNOLOGIES INC,Information Technology,131,213.1699981689453,
132,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",,132,319.0,
133,ILMN,"Illumina, Inc. - Common Stock",,133,164.92999267578125,
134,CIFR,CIPHER DIGITAL INC,Information Technology,134,27.639999389648438,
135,DXCM,Dexcom,Health Care,135,68.91999816894531,
136,PCVX,VAXCYTE INC,Health Care,136,51.959999084472656,
137,CPB,The Campbell's Company - Common Stock,,137,21.209999084472656,
138,CACC,Credit Acceptance Corporation - Common Stock,,138,589.969970703125,
139,MNST,Monster Beverage,Consumer Staples,139,93.69000244140625,
140,SRRK,SCHOLAR ROCK HOLDING CORP,Health Care,140,51.27000045776367,
141,PANW,Palo Alto Networks,Information Technology,141,290.9150085449219,
142,KDP,Keurig Dr Pepper,Consumer Staples,142,30.8700008392334,
143,INCY,Incyte,Health Care,143,104.4000015258789,
144,IBKR,Interactive Brokers,Financials,144,94.69999694824219,
145,NBIS,Nebius Group N.V. - Class A Ordinary Shares,,145,275.25,
146,ZION,Zions Bancorporation N.A. - Common Stock,,146,68.48999786376953,
147,EXPE,Expedia Group,Consumer Discretionary,147,245.07000732421875,
148,SOFI,"SoFi Technologies, Inc.  - Common Stock",,148,17.290000915527344,
149,BPOP,"Popular, Inc. - Common Stock",,149,165.05999755859375,
150,AEP,American Electric Power,Utilities,150,133.74000549316406,
151,ASML,ASML Holding N.V. - New York Registry Shares,,151,1778.4599609375,
152,VRSK,Verisk Analytics,Industrials,152,174.75999450683594,
153,ZBRA,Zebra Technologies,Information Technology,153,237.72000122070312,
154,HST,Host Hotels & Resorts,Real Estate,154,24.81999969482422,
155,SNDK,Sandisk,Information Technology,155,1963.5999755859375,
156,HSIC,Henry Schein,Health Care,156,80.0999984741211,
