current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AIR,AAR CORP,Industrials,1,141.449997,,18,135.850006,0.04122187,,,
2,PNRG,PRIMEENERGY RESOURCES CORP,Energy,2,190.360001,,,,,,,
3,FUTU,Futu Holdings Limited - American Depositary Shares,,3,101.635002,,,,,,,
4,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,4,19.4,,,,,,,
5,RBKB,RHINEBECK BANCORP INC,Financials,5,17.58,,,,,,,
6,ASIX,ADVANSIX INC,Materials,6,21.070101,,,,,,,
7,CB,Chubb Limited,Financials,7,353.209991,,,,,,,
8,WRB,W. R. Berkley Corporation,Financials,8,73.290001,,,,,,,
9,BBNX,BETA BIONICS INC,Health Care,9,17.6,,,,,,,
10,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,10,65.529999,,30,65.739998,-0.00319439,,,
11,NTGR,NETGEAR INC,Information Technology,11,23.99,,,,,,,
12,COFS,CHOICEONE FINANCIAL SERVICES INC,Financials,12,34.0,,,,,,,
13,SGP,SPYGLASS PHARMA INC SHS,Health Care,13,20.809999,,,,,,,
14,BLBD,BLUE BIRD CORP,Industrials,14,81.455002,,,,,,,
15,SDRL,SEADRILL LTD,Energy,15,43.700001,,,,,,,
16,TRST,TRUSTCO BANK CORP,Financials,16,55.130001,,50,55.439999,-0.00559159,,,
17,PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,17,9.43,,,,,,,
18,INTU,Intuit,Information Technology,18,290.790009,,,,,,,
19,APA,APA Corporation,Energy,19,35.544998,,,,,,,
20,TNK,TEEKAY TANKERS LTD CLASS A,Energy,20,75.089996,,,,,,,
21,DVN,Devon Energy,Energy,21,44.130001,,,,,,,
22,BNTX,BioNTech SE - American Depositary Shares,,22,92.735001,,,,,,,
23,DJCO,DAILY JOURNAL CORP,Information Technology,23,605.789978,,,,,,,
24,FISV,Fiserv,Financials,24,50.939999,,,,,,,
25,CDRE,CADRE HOLDINGS INC,Industrials,25,29.42,,,,,,,
26,VNOM,"Viper Energy, Inc.  - Class A Common Stock",,26,44.669998,,,,,,,
27,QTWO,Q2 HOLDINGS INC,Information Technology,27,54.869999,,,,,35,54.860001,
28,TXNM,TXNM ENERGY INC,Utilities,28,57.91,,,,,,,
29,F,Ford Motor Company,Consumer Discretionary,29,14.3711,,,,,,,
30,INSW,INTERNATIONAL SEAWAYS INC,Energy,30,90.860001,,,,,,,
31,CALM,CAL MAINE FOODS INC,Consumer Staples,31,88.360001,,,,,,,
32,FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",,32,32.52,,,,,,,
33,T,AT&T,Communication Services,33,21.985001,,,,,,,
34,NAT,NORDIC AMERICAN TANKERS LTD,Energy,34,6.52,,,,,,,
35,DBD,DIEBOLD NIXDORF INC,Information Technology,35,86.714996,,,,,,,
36,PLBC,PLUMAS BANCORP,Financials,36,60.84,,,,,,,
37,HST,Host Hotels & Resorts,Real Estate,37,24.295,,,,,,,
38,UNFI,UNITED NATURAL FOODS INC,Consumer Staples,38,50.130001,,,,,,,
39,PTEN,PATTERSON UTI ENERGY INC,Energy,39,10.39,,,,,,,
40,SMTI,SANARA MEDTECH INC,Health Care,40,25.5,,,,,,,
41,SVC,SERVICE PROPERTIES TRUST,Real Estate,41,8.825,,,,,,,
42,VST,Vistra Corp.,Utilities,42,163.574997,,,,,,,
43,PODD,Insulet Corporation,Health Care,43,164.220001,,14,167.369995,-0.01882054,,,
44,PLUS,EPLUS,Information Technology,44,91.0,,,,,,,
45,OIS,OIL STATES INTERNATIONAL INC,Energy,45,8.49,,,,,,,
46,MGPI,MGP INGREDIENTS INC,Consumer Staples,46,17.895,,28,18.209999,-0.01729813,,,
47,DPZ,Domino's,Consumer Discretionary,47,329.709991,,12,328.970001,0.00224941,,,
48,ENSG,"The Ensign Group, Inc. - Common Stock",,48,171.550003,,48,172.039993,-0.00284812,,,
49,CCBG,CAPITAL CITY BANK INC,Financials,49,50.849998,,,,,,,
50,VTOL,BRISTOW GROUP INC,Energy,50,45.0,,,,,,,
