current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,WRB,W. R. Berkley Corporation,Financials,1,72.870003,,,,,,,
2,TRST,TRUSTCO BANK CORP,Financials,2,55.517502,,,,,,,
3,CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,3,53.075001,,,,,,,
4,SMTI,SANARA MEDTECH INC,Health Care,4,25.18,,,,,,,
5,FF,FUTUREFUEL CORP,Energy,5,5.04,,,,,,,
6,ULTA,Ulta Beauty,Consumer Discretionary,6,492.679993,,1,488.079987,0.00942470,9,479.570007,0.01774502
7,PLTR,Palantir Technologies,Information Technology,7,134.395004,,,,,,,
8,TMUS,T-Mobile US,Communication Services,8,192.625,,2,195.639999,-0.01541095,,,
9,FANG,Diamondback Energy,Energy,9,197.964996,,,,,1,195.539993,
10,DPZ,Domino's,Consumer Discretionary,10,332.869995,,3,328.970001,0.01185517,,,
11,CASY,Casey's,Consumer Staples,11,866.289978,,,,,,,
12,JBHT,J.B. Hunt,Industrials,12,290.98999,,7,290.609985,0.00130761,7,291.410004,-0.00274534
13,FISV,Fiserv,Financials,13,51.330002,,,,,,,
14,TRMB,Trimble Inc.,Information Technology,14,52.73,,8,53.209999,-0.00902084,8,52.720001,0.00929435
15,INTU,Intuit,Information Technology,15,293.190002,,,,,,,
16,CMCSA,Comcast,Communication Services,16,23.785,,9,23.780001,0.00021022,,,
17,FOX,Fox Corporation (Class B),Communication Services,17,51.369999,,10,51.549999,-0.00349176,,,
18,FOXA,Fox Corporation (Class A),Communication Services,18,57.18,,11,57.48,-0.00521921,11,57.619999,-0.00242969
19,KHC,Kraft Heinz,Consumer Staples,19,25.825001,,13,25.860001,-0.00135344,14,25.879999,-0.00077272
20,PAYX,Paychex,Industrials,20,114.279999,,15,115.199997,-0.00798609,18,114.389999,0.00708102
21,CTAS,Cintas,Industrials,21,200.339996,,16,201.800003,-0.00723492,,,
22,REG,Regency Centers,Real Estate,22,81.949997,,18,82.139999,-0.00231315,20,82.68,-0.00653122
23,VTRS,Viatris,Health Care,23,17.290001,,,,,21,17.290001,
24,BNTX,BioNTech SE - American Depositary Shares,,24,93.239998,,,,,,,
25,APA,APA Corporation,Energy,25,35.384998,,17,34.84,0.01564288,19,35.220001,-0.01078935
26,PTEN,PATTERSON UTI ENERGY INC,Energy,26,10.35,,,,,,,
27,SNY,Sanofi - American Depositary Shares,,27,44.049999,,22,43.98,0.00159161,,,
28,CALM,CAL MAINE FOODS INC,Consumer Staples,28,88.389999,,25,88.419998,-0.00033928,30,88.550003,-0.00146815
29,BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,29,71.910004,,,,,,,
30,ORKA,ORUKA THERAPEUTICS INC,Health Care,30,94.580002,,24,91.709999,0.03129433,,,
31,CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,31,85.550003,,26,86.110001,-0.00650329,33,85.769997,0.00396414
32,LCID,LUCID GROUP INC,Consumer Discretionary,32,7.075,,,,,,,
33,XMTR,XOMETRY INC CLASS A,Industrials,33,102.900002,,27,100.120003,0.02776667,,,
34,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,34,103.279999,,28,101.0,0.02257425,,,
35,NAVN,NAVAN INC CLASS A,Consumer Discretionary,35,26.995001,,,,,,,
36,HQY,HEALTHEQUITY INC,Health Care,36,98.910004,,,,,36,97.669998,
37,WEN,WENDYS,Consumer Discretionary,37,7.785,,,,,,,
38,GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,38,7.325,,,,,32,7.29,
39,FRSH,FRESHWORKS INC CLASS A,Information Technology,39,10.92,,29,11.05,-0.01176471,,,
40,DVN,Devon Energy,Energy,40,43.98,,,,,,,
41,BG,Bunge Global,Consumer Staples,41,121.849998,,31,120.650002,0.00994609,,,
42,CRM,Salesforce,Information Technology,42,171.639999,,36,173.770004,-0.01225761,,,
43,MDT,Medtronic,Health Care,43,82.899902,,32,83.330002,-0.00516141,41,83.199997,0.00156256
44,FRT,Federal Realty Investment Trust,Real Estate,44,125.684998,,39,125.574997,0.00087598,47,126.019997,-0.00353119
45,AIG,American International Group,Financials,45,79.739998,,40,79.82,-0.00100228,,,
46,IT,Gartner,Information Technology,46,138.050003,,34,140.990005,-0.02085256,,,
47,CPAY,Corpay,Financials,47,367.079987,,35,369.350006,-0.00614598,,,
48,TGT,Target Corporation,Consumer Staples,48,138.880005,,,,,,,
49,KIM,Kimco Realty,Real Estate,49,26.02,,42,26.035,-0.00057615,,,
50,MO,Altria,Consumer Staples,50,73.57,,50,74.654999,-0.01453351,42,74.209999,0.00599650
