current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,SDRL,SEADRILL LTD,Energy,1,43.23,,,,,,,
2,BNTX,BioNTech SE - American Depositary Shares,,2,93.239998,,,,,,,
3,PNRG,PRIMEENERGY RESOURCES CORP,Energy,3,188.570007,,,,,,,
4,DVN,Devon Energy,Energy,4,43.98,,,,,,,
5,FISV,Fiserv,Financials,5,51.330002,,,,,,,
6,VNOM,"Viper Energy, Inc.  - Class A Common Stock",,6,44.275002,,,,,,,
7,PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,7,9.385,,,,,,,
8,TALO,TALOS ENERGY INC,Energy,8,14.71,,,,,,,
9,MUR,MURPHY OIL CORP,Energy,9,37.125,,2,36.825001,0.00814661,,,
10,PRGO,PERRIGO PLC,Health Care,10,10.55,,16,10.58,-0.00283554,,,
11,BG,Bunge Global,Consumer Staples,11,121.849998,,8,120.650002,0.00994609,,,
12,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,12,11.9,,,,,,,
13,PANL,PANGAEA LOGISTICS SOLUTIONS LTD,Industrials,13,7.45,,,,,,,
14,DPZ,Domino's,Consumer Discretionary,14,332.869995,,13,328.970001,0.01185517,,,
15,TMUS,T-Mobile US,Communication Services,15,192.625,,18,195.639999,-0.01541095,,,
16,TRST,TRUSTCO BANK CORP,Financials,16,55.517502,,43,55.439999,0.00139796,,,
17,JJSF,J AND J SNACK FOODS CORP,Consumer Staples,17,77.400002,,9,77.760002,-0.00462963,,,
18,WGO,WINNEBAGO INDUSTRIES INC,Consumer Discretionary,18,30.530001,,49,30.530001,0.00000000,,,
19,VTOL,BRISTOW GROUP INC,Energy,19,44.790001,,,,,19,44.169998,
20,SNY,Sanofi - American Depositary Shares,,20,44.049999,,,,,,,
21,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,21,18.98,,,,,,,
22,CCBG,CAPITAL CITY BANK INC,Financials,22,51.02,,,,,,,
23,BLBD,BLUE BIRD CORP,Industrials,23,81.559998,,,,,,,
24,ULTA,Ulta Beauty,Consumer Discretionary,24,492.679993,,4,488.079987,0.00942470,,,
25,ITRI,ITRON INC,Information Technology,25,85.889999,,,,,5,85.989998,
26,INTU,Intuit,Information Technology,26,293.190002,,,,,,,
27,TRMB,Trimble Inc.,Information Technology,27,52.73,,14,53.209999,-0.00902084,,,
28,UPWK,UPWORK INC,Industrials,28,9.315,,,,,,,
29,RBKB,RHINEBECK BANCORP INC,Financials,29,17.58,,,,,,,
30,KHC,Kraft Heinz,Consumer Staples,30,25.825001,,,,,,,
31,COIN,Coinbase,Financials,31,180.350006,,,,,,,
32,NAVI,NAVIENT CORP,Financials,32,8.64,,,,,,,
33,AMGN,Amgen,Health Care,33,367.320007,,34,364.170013,0.00864979,,,
34,AIR,AAR CORP,Industrials,34,139.949997,,15,135.850006,0.03018028,,,
35,GTN,GRAY MEDIA INC,Communication,35,4.06,,,,,,,
36,CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,36,53.075001,,,,,,,
37,EG,Everest Group,Financials,37,376.660004,,,,,,,
38,SFL,SFL LTD,Energy,38,11.42,,,,,,,
39,PLUS,EPLUS,Information Technology,39,91.385002,,,,,,,
40,FANG,Diamondback Energy,Energy,40,197.964996,,,,,6,195.539993,
41,ARLO,ARLO TECHNOLOGIES INC,Information Technology,41,13.38,,,,,,,
42,PODD,Insulet Corporation,Health Care,42,164.130005,,,,,10,164.059998,
43,INSW,INTERNATIONAL SEAWAYS INC,Energy,43,91.760002,,,,,,,
44,MGPI,MGP INGREDIENTS INC,Consumer Staples,44,17.860001,,,,,48,17.860001,
45,DLX,DELUXE CORP,Industrials,45,25.799999,,17,26.084999,-0.01092582,37,26.049999,0.00134357
46,CHRW,C.H. Robinson,Industrials,46,209.229904,,27,205.800003,0.01666619,,,
47,NOG,NORTHERN OIL AND GAS INC,Energy,47,21.780001,,10,21.200001,0.02735849,,,
48,SMA,SMARTSTOP SELF STORAGE REIT INC,Real Estate,48,34.224998,,,,,,,
49,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,49,49.740002,,7,50.439999,-0.01387782,15,49.919998,0.01041669
50,APA,APA Corporation,Energy,50,35.384998,,,,,,,
