current_rank,ticker,name,sector,2026-07-17 13:00__close,2026-07-17 13:00__next_4h_return,2026-07-16 12:30__close,2026-07-16 12:30__next_4h_return,2026-07-14 12:30__close,2026-07-14 12:30__next_4h_return,2026-07-13 12:30__close,2026-07-13 12:30__next_4h_return,2026-07-10 12:30__close,2026-07-10 12:30__next_4h_return,2026-07-07 12:30__close,2026-07-07 12:30__next_4h_return,2026-07-06 12:30__close,2026-07-06 12:30__next_4h_return,2026-07-02 12:30__close,2026-07-02 12:30__next_4h_return,2026-07-01 12:30__close,2026-07-01 12:30__next_4h_return,2026-06-30 12:30__close,2026-06-30 12:30__next_4h_return,2026-06-29 12:30__close,2026-06-29 12:30__next_4h_return,2026-06-26 12:30__close,2026-06-26 12:30__next_4h_return,2026-06-25 12:30__close,2026-06-25 12:30__next_4h_return,2026-06-24 12:30__close,2026-06-24 12:30__next_4h_return,2026-06-23 12:30__close,2026-06-23 12:30__next_4h_return,2026-06-22 12:30__close,2026-06-22 12:30__next_4h_return,2026-06-18 12:30__close,2026-06-18 12:30__next_4h_return,2026-06-17 12:30__close,2026-06-17 12:30__next_4h_return,2026-06-16 12:30__close,2026-06-16 12:30__next_4h_return,2026-06-15 12:30__close,2026-06-15 12:30__next_4h_return,2026-06-12 12:30__close,2026-06-12 12:30__next_4h_return,2026-06-11 12:30__close,2026-06-11 12:30__next_4h_return,2026-06-10 12:30__close,2026-06-10 12:30__next_4h_return,2026-06-09 12:30__close,2026-06-09 12:30__next_4h_return,2026-06-08 12:30__close,2026-06-08 12:30__next_4h_return,2026-06-05 12:30__close,2026-06-05 12:30__next_4h_return,2026-06-03 12:30__close,2026-06-03 12:30__next_4h_return,2026-06-02 12:30__close,2026-06-02 12:30__next_4h_return,2026-06-01 12:30__close,2026-06-01 12:30__next_4h_return,2026-05-29 12:30__close,2026-05-29 12:30__next_4h_return
1,LCID,LUCID GROUP INC,Consumer Discretionary,7.360000,,6.470000,0.13755796,4.615000,0.40195016,5.520000,-0.16394928,5.555000,-0.00630063,5.995000,-0.07339450,6.655000,-0.09917355,6.075000,0.09547325,6.630000,-0.08371041,6.670000,-0.00599700,6.500000,0.02615385,5.940000,0.09427609,5.115000,0.16129032,5.135000,-0.00389484,5.170000,-0.00676983,5.155000,0.00290980,5.340000,-0.03464419,5.125000,0.04195122,5.035000,0.01787488,5.245000,-0.04003813,5.220000,0.00478927,5.190000,0.00578035,4.705000,0.10308183,5.135000,-0.08373905,5.095000,0.00785083,5.115000,-0.00391007,5.715000,-0.10498688,6.160000,-0.07224026,6.671000,-0.07660021,6.545000,0.01925134
2,PSNL,PERSONALIS INC,Health Care,15.390000,,15.595000,-0.01314524,15.025000,0.03793677,15.050000,-0.00166113,14.060000,0.07041252,13.990000,0.00500357,14.360000,-0.02576602,13.620000,0.05433186,13.805000,-0.01340094,13.395000,0.03060844,13.760000,-0.02652616,12.960000,0.06172840,12.600000,0.02857143,11.370000,0.10817942,10.060000,0.13021869,10.180000,-0.01178782,10.515000,-0.03185925,9.745000,0.07901488,9.690000,0.00567595,9.790000,-0.01021450,9.600000,0.01979167,9.425000,0.01856764,9.600000,-0.01822917,9.755000,-0.01588929,10.030000,-0.02741775,10.730000,-0.06523765,10.775000,-0.00417633,11.125000,-0.03146067,11.270000,-0.01286602,11.390000,-0.01053556
3,AGEN,AGENUS INC,Health Care,5.010000,,4.990000,0.00400802,5.065000,-0.01480750,6.115000,-0.17170891,3.350000,0.82537313,3.500000,-0.04285714,3.415000,0.02489019,3.475000,-0.01726619,3.425000,0.01459854,3.040000,0.12664474,3.145000,-0.03338633,3.025000,0.03966942,2.890000,0.04671280,2.930000,-0.01365188,3.080000,-0.04870130,3.045000,0.01149425,3.000000,0.01500000,2.970000,0.01010101,2.975000,-0.00168067,3.250000,-0.08461538,3.290000,-0.01215805,3.382900,-0.02746165,3.065000,0.10371941,3.110000,-0.01446945,3.135000,-0.00797448,3.230000,-0.02941176,3.240000,-0.00308642,3.385000,-0.04283604,3.475000,-0.02589928,3.495000,-0.00572246
4,ABVX,Abivax SA - American Depositary Shares,,136.649994,,137.759995,-0.00805750,134.889999,0.02127657,135.949997,-0.00779697,139.889999,-0.02816500,142.169998,-0.01603713,144.039993,-0.01298247,144.750000,-0.00490506,132.570007,0.09187593,133.320007,-0.00562556,96.169998,0.38629520,97.470001,-0.01333747,92.279999,0.05624189,92.540001,-0.00280962,98.410004,-0.05964844,101.669998,-0.03206446,99.040001,0.02655490,100.070000,-0.01029279,97.440002,0.02699095,98.339996,-0.00915186,96.540001,0.01864507,100.809998,-0.04235688,98.059998,0.02804406,102.675003,-0.04494770,101.459999,0.01197520,101.639999,-0.00177096,90.139999,0.12757932,72.470001,0.24382500,129.505005,-0.44040772,132.600006,-0.02334088
5,ERAS,ERASCA INC,Health Care,19.170000,,19.004999,0.00868198,19.500000,-0.02538467,17.895000,0.08968986,18.530001,-0.03426881,18.365000,0.00898454,18.850000,-0.02572944,18.459999,0.02112682,17.910000,0.03070905,18.330000,-0.02291326,18.290001,0.00218693,15.980000,0.14455576,14.930000,0.07032820,15.060000,-0.00863214,15.070000,-0.00066357,15.065000,0.00033190,13.670000,0.10204828,13.980000,-0.02217454,13.380000,0.04484305,14.430000,-0.07276507,14.045000,0.02741189,14.030000,0.00106914,13.380000,0.04857997,13.395000,-0.00111982,12.870000,0.04079254,11.965000,0.07563728,13.175000,-0.09184061,13.480000,-0.02262611,13.815000,-0.02424900,12.840000,0.07593458
6,CHYM,"Chime Financial, Inc. - Class A Common Stock",,22.330000,,21.924999,0.01847211,21.469999,0.02119236,20.945000,0.02506560,20.910000,0.00167384,21.110001,-0.00947423,21.434999,-0.01516203,20.860001,0.02756462,21.000000,-0.00666662,20.475000,0.02564103,20.990000,-0.02453549,20.260000,0.03603159,18.270000,0.10892173,17.365000,0.05211633,16.645000,0.04325623,16.900000,-0.01508876,17.620001,-0.04086271,16.580000,0.06272624,17.045000,-0.02728073,17.660000,-0.03482446,16.709999,0.05685225,17.240000,-0.03074252,16.420000,0.04993910,17.059999,-0.03751460,17.570000,-0.02902681,17.469999,0.00572416,17.650000,-0.01019836,18.610001,-0.05158522,19.200001,-0.03072917,18.600000,0.03225812
7,DNTH,DIANTHUS THERAPEUTICS INC,Health Care,105.599998,,95.330002,0.10773100,101.260002,-0.05856212,98.599998,0.02697773,97.540001,0.01086731,95.750000,0.01869453,93.309998,0.02614942,94.309998,-0.01060333,90.199997,0.04556542,97.529999,-0.07515638,95.680000,0.01933527,95.370003,0.00325047,91.680000,0.04024872,90.760002,0.01013660,87.519997,0.03702017,87.370003,0.00171677,82.470001,0.05941557,81.940002,0.00646814,78.820000,0.03958389,82.570000,-0.04541601,82.035004,0.00652156,76.510002,0.07221281,76.370003,0.00183317,84.639999,-0.09770789,81.300003,0.04108236,80.519997,0.00968711,84.970001,-0.05237147,81.529999,0.04219308,89.550003,-0.08955895,93.099998,-0.03813099
8,BAND,BANDWIDTH INC CLASS A,Communication,71.809998,,68.864998,0.04276483,75.750000,-0.09089112,73.970001,0.02406380,75.480003,-0.02000533,67.510002,0.11805660,60.695000,0.11228276,61.529999,-0.01357060,63.759998,-0.03497489,63.320000,0.00694880,60.860001,0.04042062,56.830002,0.07091323,52.290001,0.08682350,52.310001,-0.00038234,52.790001,-0.00909263,50.840000,0.03835565,51.389999,-0.01070245,50.869999,0.01022214,51.790001,-0.01776409,52.669998,-0.01670775,65.330002,-0.19378545,64.300003,0.01601865,59.244999,0.08532372,63.349998,-0.06479872,68.769997,-0.07881342,72.129997,-0.04658256,65.580002,0.09987793,67.849998,-0.03345610,70.875000,-0.04268080,65.029999,0.08988161
9,IOVA,IOVANCE BIOTHERAPEUTICS INC,Health Care,5.000000,,4.655000,0.07411386,3.930100,0.18444823,4.035000,-0.02599752,4.235000,-0.04722550,4.345000,-0.02531646,4.185000,0.03823178,4.320000,-0.03125000,3.970000,0.08816121,4.155000,-0.04452467,4.220000,-0.01540284,4.230000,-0.00236407,4.210000,0.00475059,4.245000,-0.00824499,4.437700,-0.04342340,4.070000,0.09034398,3.905000,0.04225352,3.925000,-0.00509554,3.815000,0.02883355,4.035000,-0.05452292,4.075000,-0.00981595,3.965000,0.02774275,3.780000,0.04894180,3.870000,-0.02325581,3.995000,-0.03128911,4.225000,-0.05443787,3.795000,0.11330698,4.095000,-0.07326007,3.945000,0.03802281,4.100000,-0.03780488
10,ONC,BeOne Medicines Ltd. - American Depositary Shares,,312.019989,,317.260010,-0.01651649,306.390015,0.03547764,303.859985,0.00832630,298.690002,0.01730886,308.970001,-0.03327184,309.279999,-0.00100232,297.880005,0.03827042,290.630005,0.02494581,285.170013,0.01914645,290.179993,-0.01726508,280.470001,0.03462043,275.570007,0.01778130,277.140015,-0.00566504,276.000000,0.00413049,271.899994,0.01507910,270.385010,0.00560306,262.679993,0.02933233,263.890015,-0.00458533,268.269989,-0.01632674,264.630005,0.01375499,260.440002,0.01608817,263.309998,-0.01089968,268.089996,-0.01782983,270.690002,-0.00960511,270.230011,0.00170222,279.220001,-0.03219680,274.450012,0.01738017,279.790009,-0.01908573,287.980011,-0.02843948
