current_rank,ticker,name,sector,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,YOU,CLEAR SECURE INC CLASS A,Information Technology,1,56.029999,
2,MO,Altria,Consumer Staples,2,74.209999,
3,FANG,Diamondback Energy,Energy,3,195.539993,
4,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,4,20.110001,
5,TYL,Tyler Technologies,Information Technology,5,319.51001,
6,ADSK,Autodesk,Information Technology,6,218.350006,
7,ABBV,AbbVie,Health Care,7,254.490005,
8,KAI,KADANT INC,Industrials,8,311.01001,
9,BMI,BADGER METER INC,Information Technology,9,149.479996,
10,AWK,American Water Works,Utilities,10,135.110001,
11,SNA,Snap-on,Industrials,11,410.98999,
12,ITRI,ITRON INC,Information Technology,12,85.989998,
13,CTVA,Corteva,Materials,13,87.300003,
14,XOM,ExxonMobil,Energy,14,147.360001,
15,TPC,TUTOR PERINI CORP,Industrials,15,78.620003,
16,ARLO,ARLO TECHNOLOGIES INC,Information Technology,16,13.31,
17,CF,CF Industries,Materials,17,121.419998,
18,ACT,ENACT HOLDINGS INC,Financials,18,46.52,
19,GRMN,Garmin,Consumer Discretionary,19,249.559998,
20,FSLY,FASTLY INC CLASS A,Information Technology,20,20.719999,
21,REPX,RILEY EXPLORATION PERMIAN INC,Energy,21,35.0,
22,GLRE,GREENLIGHT CAPITAL LTD CLASS A,Financials,22,17.07,
23,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,23,51.200001,
24,COP,ConocoPhillips,Energy,24,114.709999,
25,GCO,GENESCO INC,Consumer Discretionary,25,36.970001,
26,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,26,326.059998,
27,XPRO,EXPRO NV,Other,27,16.48,
28,FOXA,Fox Corporation (Class A),Communication Services,28,57.619999,
29,SONO,SONOS INC,Consumer Discretionary,29,15.11,
30,NNI,NELNET INC CLASS A,Financials,30,134.279999,
31,DGX,Quest Diagnostics,Health Care,31,210.679993,
32,DHR,Danaher Corporation,Health Care,32,203.830002,
33,MRK,Merck & Co.,Health Care,33,127.5,
34,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,34,228.410004,
35,QTWO,Q2 HOLDINGS INC,Information Technology,35,54.860001,
36,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,36,102.199997,
37,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,37,93.879997,
38,CARE,CARTER BANKSHARES INC,Financials,38,33.349998,
39,ESTA,ESTABLISHMENT LABS INC,Health Care,39,92.580002,
40,TPL,Texas Pacific Land Corporation,Energy,40,415.700012,
41,LH,Labcorp,Health Care,41,283.359985,
42,MANH,"Manhattan Associates, Inc. - Common Stock",,42,163.190002,
43,AMN,AMN HEALTHCARE INC,Health Care,43,35.0,
44,AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,44,74.540001,
45,FBLA,FB BANCORP INC,Financials,45,15.31,
46,ARES,Ares Management,Financials,46,125.68,
47,CHCT,COMMUNITY HEALTHCARE TRUST INC,Real Estate,47,18.809999,
48,STE,Steris,Health Care,48,217.839996,
49,ABT,Abbott Laboratories,Health Care,49,100.68,
50,OLP,ONE LIBERTY PROPERTIES REIT INC,Real Estate,50,25.24,
