current_rank,ticker,name,sector,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,YOU,CLEAR SECURE INC CLASS A,Information Technology,1,56.029999,
2,MO,Altria,Consumer Staples,2,74.209999,
3,FANG,Diamondback Energy,Energy,3,195.539993,
4,ADSK,Autodesk,Information Technology,4,218.350006,
5,TRVI,TREVI THERAPEUTICS INC,Health Care,5,19.07,
6,SONO,SONOS INC,Consumer Discretionary,6,15.11,
7,ARLO,ARLO TECHNOLOGIES INC,Information Technology,7,13.31,
8,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,8,20.110001,
9,TYL,Tyler Technologies,Information Technology,9,319.51001,
10,KAI,KADANT INC,Industrials,10,311.01001,
11,TPC,TUTOR PERINI CORP,Industrials,11,78.620003,
12,XOM,ExxonMobil,Energy,12,147.360001,
13,REPX,RILEY EXPLORATION PERMIAN INC,Energy,13,35.0,
14,FOXA,Fox Corporation (Class A),Communication Services,14,57.619999,
15,GCO,GENESCO INC,Consumer Discretionary,15,36.970001,
16,COP,ConocoPhillips,Energy,16,114.709999,
17,BMI,BADGER METER INC,Information Technology,17,149.479996,
18,AWK,American Water Works,Utilities,18,135.110001,
19,SNA,Snap-on,Industrials,19,410.98999,
20,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,20,326.059998,
21,ITRI,ITRON INC,Information Technology,21,85.989998,
22,BKD,BROOKDALE SENIOR LIVING INC,Health Care,22,15.01,
23,ABBV,AbbVie,Health Care,23,254.490005,
24,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,24,102.199997,
25,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,25,93.879997,
26,CTVA,Corteva,Materials,26,87.300003,
27,CADL,CANDEL THERAPEUTICS INC,Health Care,27,10.18,
28,ACT,ENACT HOLDINGS INC,Financials,28,46.52,
29,GRMN,Garmin,Consumer Discretionary,29,249.559998,
30,CF,CF Industries,Materials,30,121.419998,
31,FSLY,FASTLY INC CLASS A,Information Technology,31,20.719999,
32,GLRE,GREENLIGHT CAPITAL LTD CLASS A,Financials,32,17.07,
33,ARES,Ares Management,Financials,33,125.68,
34,FIVE,"Five Below, Inc. - Common Stock",,34,202.630005,
35,TRMB,Trimble Inc.,Information Technology,35,52.720001,
36,TNDM,TANDEM DIABETES CARE INC,Health Care,36,17.08,
37,VRSN,Verisign,Information Technology,37,277.660004,
38,LH,Labcorp,Health Care,38,283.359985,
39,NNI,NELNET INC CLASS A,Financials,39,134.279999,
40,CARE,CARTER BANKSHARES INC,Financials,40,33.349998,
41,LASR,NLIGHT INC,Information Technology,41,69.25,
42,ESTA,ESTABLISHMENT LABS INC,Health Care,42,92.580002,
43,QTWO,Q2 HOLDINGS INC,Information Technology,43,54.860001,
44,DGX,Quest Diagnostics,Health Care,44,210.679993,
45,AMN,AMN HEALTHCARE INC,Health Care,45,35.0,
46,AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,46,74.540001,
47,MANH,"Manhattan Associates, Inc. - Common Stock",,47,163.190002,
48,FBLA,FB BANCORP INC,Financials,48,15.31,
49,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,49,33.310001,
50,WEN,WENDYS,Consumer Discretionary,50,7.76,
