rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,COHU,COHU,Information Technology,92.88,Deep v4 Shape Embedding 确认层 强确认,56.68,67.96,2.06,0.07216491,0.28322397,0.14690413,90.4,58.0,66.4,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 92.9,Deep v4 Shape Embedding 确认层,yes,92.88,2026-09-09
2,VIAV,Viavi Solutions Inc. - Common Stock,,88.74,Deep v4 Shape Embedding 确认层 强确认,39.18,59.94,1.18,0.01450029,0.12521539,0.05350904,90.4,48.08,90.2,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 88.7,Deep v4 Shape Embedding 确认层,yes,88.74,2026-09-09
3,TER,Teradyne,Information Technology,85.49,Deep v4 Shape Embedding 确认层 强确认,383.690002,61.07,0.82,0.02421122,0.14350001,0.05088882,90.4,73.01,90.2,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 85.5,Deep v4 Shape Embedding 确认层,yes,85.49,2026-09-09
4,CECO,CECO ENVIRONMENTAL,Industrials,79.86,Deep v4 Shape Embedding 确认层 一般确认,78.300003,62.85,1.08,-0.02180018,0.10953667,0.11158434,87.7,72.63,74.0,80.89,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 79.9,Deep v4 Shape Embedding 确认层,no,79.86,2026-09-09
5,MRVL,Marvell Technology,Information Technology,79.42,Deep v4 Shape Embedding 确认层 一般确认,235.009995,58.51,0.35,0.02409796,0.11718004,0.12682200,90.4,73.36,90.2,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 79.4,Deep v4 Shape Embedding 确认层,no,79.42,2026-09-09
6,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,76.34,Deep v4 Shape Embedding 确认层 一般确认,287.938995,60.16,1.04,0.00974537,0.06640119,0.08684937,87.7,74.31,100.0,80.89,68.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 76.3,Deep v4 Shape Embedding 确认层,no,76.34,2026-09-09
7,CHRW,C.H. Robinson,Industrials,73.88,Deep v4 Shape Embedding 确认层 一般确认,150.449997,54.4,1.67,-0.00706182,0.01731015,0.01436077,87.7,56.66,72.6,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 73.9,Deep v4 Shape Embedding 确认层,no,73.88,2026-09-09
8,LBRT,LIBERTY ENERGY CLASS A,Energy,72.38,Deep v4 Shape Embedding 确认层 一般确认,22.07,72.88,1.2,0.02627301,0.09800995,0.04473373,79.7,71.63,90.2,62.89,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 72.4,Deep v4 Shape Embedding 确认层,no,72.38,2026-09-09
9,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,70.01,Deep v4 Shape Embedding 确认层 一般确认,35.580002,55.88,1.59,0.01180154,0.04004686,0.06208961,87.7,48.45,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 70.0,Deep v4 Shape Embedding 确认层,no,70.01,2026-09-09
10,AGIO,AGIOS PHARMACEUTICALS,Health Care,68.95,Deep v4 Shape Embedding 确认层 一般确认,34.630001,57.37,1.83,0.02546642,0.01139016,0.06227003,98.2,48.47,88.8,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 69.0,Deep v4 Shape Embedding 确认层,no,68.95,2026-09-09
11,SYM,Symbotic Inc. - Class A Common Stock,,66.67,Deep v4 Shape Embedding 确认层 一般确认,42.619999,57.11,0.9,-0.02337305,0.11483126,0.06271036,87.7,72.03,74.0,81.0,68.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 66.7,Deep v4 Shape Embedding 确认层,no,66.67,2026-09-09
12,LRCX,Lam Research,Information Technology,65.08,Deep v4 Shape Embedding 确认层 一般确认,315.839996,56.89,0.82,-0.01373968,0.08771568,0.03111227,90.4,72.86,74.0,80.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 65.1,Deep v4 Shape Embedding 确认层,no,65.08,2026-09-09
13,DVA,DaVita,Health Care,64.38,Deep v4 Shape Embedding 确认层 一般确认,183.020004,53.09,1.23,0.00430764,0.03911883,-0.00370165,87.7,47.87,81.1,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 64.4,Deep v4 Shape Embedding 确认层,no,64.38,2026-09-09
14,XPRO,EXPRO LTD,Energy,57.87,Deep v4 Shape Embedding 确认层 一般确认,18.184999,54.23,1.11,0.00915644,0.03206572,0.01933851,82.9,53.73,88.8,80.89,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 57.9,Deep v4 Shape Embedding 确认层,no,57.87,2026-09-09
15,FFIV,"F5, Inc.",Information Technology,56.82,Deep v4 Shape Embedding 确认层 一般确认,404.630005,57.62,1.97,0.03570700,0.02246428,-0.01280863,92.8,64.5,72.7,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 56.8,Deep v4 Shape Embedding 确认层,no,56.82,2026-09-09
16,TSLA,"Tesla, Inc.",Consumer Discretionary,56.11,Deep v4 Shape Embedding 确认层 一般确认,367.809998,56.25,0.37,0.00078910,0.03282602,0.11170218,82.9,76.63,100.0,81.0,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 56.1,Deep v4 Shape Embedding 确认层,no,56.11,2026-09-09
17,ANDE,ANDERSONS INC,Consumer Staples,56.02,Deep v4 Shape Embedding 确认层 一般确认,71.32,63.33,1.17,0.00962629,0.06115163,0.08902126,87.7,74.52,100.0,80.89,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 56.0,Deep v4 Shape Embedding 确认层,no,56.02,2026-09-09
18,ECHO,EchoStar,Communication Services,50.04,Deep v4 Shape Embedding 确认层 未确认,91.32,59.49,1.22,-0.01827561,0.06149019,0.02445592,87.7,71.64,72.6,81.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 50.0,Deep v4 Shape Embedding 确认层,no,50.04,2026-09-09
19,KGS,KODIAK GAS SERVICES INC,Energy,49.16,Deep v4 Shape Embedding 确认层 未确认,64.040001,63.21,0.83,0.00344721,0.07530856,0.04147014,87.7,73.05,100.0,80.89,68.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 49.2,Deep v4 Shape Embedding 确认层,no,49.16,2026-09-09
20,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",,48.64,Deep v4 Shape Embedding 确认层 未确认,277.700012,65.56,0.85,0.02695909,0.16896790,0.20618519,87.7,73.91,80.4,81.0,68.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 48.6,Deep v4 Shape Embedding 确认层,no,48.64,2026-09-09
21,TPL,Texas Pacific Land Corporation,Energy,48.46,Deep v4 Shape Embedding 确认层 未确认,374.190002,53.24,1.05,-0.00789038,0.01206283,0.06707157,90.4,48.19,72.6,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 48.5,Deep v4 Shape Embedding 确认层,no,48.46,2026-09-09
22,TKO,TKO Group Holdings,Communication Services,47.67,Deep v4 Shape Embedding 确认层 未确认,191.085007,52.69,1.15,0.00894983,0.04853491,0.00900307,90.4,47.47,88.8,80.4,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 47.7,Deep v4 Shape Embedding 确认层,no,47.67,2026-09-09
23,HPQ,HP Inc.,Information Technology,46.17,Deep v4 Shape Embedding 确认层 未确认,32.41,60.76,1.07,0.04464142,0.03463684,0.08721909,73.0,61.8,91.6,80.4,100.0,100.0,mixed_sideways,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 46.2,Deep v4 Shape Embedding 确认层,no,46.17,2026-09-09
24,VST,Vistra Corp.,Utilities,40.19,Deep v4 Shape Embedding 确认层 未确认,151.122406,66.73,0.75,-0.01779277,0.09421769,0.05790969,87.7,72.35,74.0,80.4,68.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 40.2,Deep v4 Shape Embedding 确认层,no,40.19,2026-09-09
25,IBM,IBM,Information Technology,38.7,Deep v4 Shape Embedding 确认层 未确认,239.964996,61.75,1.94,0.03401986,0.03602885,0.01621954,98.2,47.54,88.8,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 38.7,Deep v4 Shape Embedding 确认层,no,38.7,2026-09-09
26,AVO,MISSION PRODUCE INC,Consumer Staples,37.91,Deep v4 Shape Embedding 确认层 未确认,13.42,64.74,2.52,0.04761905,0.04721030,0.01975684,92.8,79.04,80.4,80.89,66.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 37.9,Deep v4 Shape Embedding 确认层,no,37.91,2026-09-09
27,CXT,CRANE NXT,Information Technology,37.47,Deep v4 Shape Embedding 确认层 未确认,50.685001,55.75,1.88,0.02497472,0.03102118,-0.01544287,90.4,46.85,81.1,80.89,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 37.5,Deep v4 Shape Embedding 确认层,no,37.47,2026-09-09
28,RSI,RUSH STREET INTERACTIVE CLASS A,Consumer Discretionary,37.03,Deep v4 Shape Embedding 确认层 未确认,26.73,53.99,0.81,0.01020412,0.03805825,0.08087343,87.7,48.45,100.0,80.0,68.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 37.0,Deep v4 Shape Embedding 确认层,no,37.03,2026-09-09
29,MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,35.88,Deep v4 Shape Embedding 确认层 未确认,27.790001,62.11,1.13,0.01944244,0.00469996,0.06884619,82.9,61.39,88.8,80.89,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 35.9,Deep v4 Shape Embedding 确认层,no,35.88,2026-09-09
30,ONT,ONTERRIS,Industrials,34.04,Deep v4 Shape Embedding 确认层 未确认,17.85,58.03,1.06,0.00450197,0.07854991,0.14717224,87.7,48.87,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 34.0,Deep v4 Shape Embedding 确认层,no,34.04,2026-09-09
31,UHS,Universal Health Services,Health Care,33.95,Deep v4 Shape Embedding 确认层 未确认,175.850006,59.93,1.7,0.03804496,0.02956676,0.01806293,92.8,54.14,80.4,80.4,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 34.0,Deep v4 Shape Embedding 确认层,no,33.95,2026-09-09
32,GEO,GEO GROUP,Industrials,27.09,Deep v4 Shape Embedding 确认层 未确认,31.610001,50.53,1.13,-0.00971175,0.03520553,0.03064888,92.8,41.21,83.8,66.8,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 27.1,Deep v4 Shape Embedding 确认层,no,27.09,2026-09-09
33,XOM,ExxonMobil,Energy,26.12,Deep v4 Shape Embedding 确认层 未确认,164.259995,58.35,0.9,0.03334164,-0.00188377,0.02797423,98.2,53.93,81.1,80.4,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 26.1,Deep v4 Shape Embedding 确认层,no,26.12,2026-09-09
34,PNTG,PENNANT GROUP,Health Care,25.77,Deep v4 Shape Embedding 确认层 未确认,39.599998,62.26,1.44,0.01747174,0.04872882,-0.00176456,90.4,42.98,81.1,80.89,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 25.8,Deep v4 Shape Embedding 确认层,no,25.77,2026-09-09
35,CLB,CORE LABORATORIES,Energy,17.59,Deep v4 Shape Embedding 确认层 未确认,12.63,58.39,1.11,0.00000000,0.01772764,0.03355155,82.9,65.79,100.0,80.89,100.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 17.6,Deep v4 Shape Embedding 确认层,no,17.59,2026-09-09
36,UVSP,UNIVEST FINANCIAL CORP,Financials,11.26,Deep v4 Shape Embedding 确认层 未确认,42.23,53.78,1.34,0.00643472,0.02699419,0.00047385,87.7,40.85,88.8,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 11.3,Deep v4 Shape Embedding 确认层,no,11.26,2026-09-09
37,HMH,HMH HOLDING INC CLASS A,Energy,0.0,Deep v4 Shape Embedding 确认层 数据不足,20.860001,63.77,1.53,0.05247230,0.08872657,0.01855474,90.4,75.17,70.6,80.89,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v4 Shape Embedding 确认层,no,0.0,
38,MG,MISTRAS GROUP INC,Industrials,0.0,Deep v4 Shape Embedding 确认层 数据不足,20.0,67.46,1.65,0.03092784,0.07526882,0.26823082,82.9,69.92,90.2,80.89,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v4 Shape Embedding 确认层,no,0.0,
39,OCUL,OCULAR THERAPEUTIX,Health Care,0.0,Deep v4 Shape Embedding 确认层 数据不足,11.47,66.64,1.66,0.02273741,0.08463357,0.24000000,82.9,69.59,90.2,80.89,100.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v4 Shape Embedding 确认层,no,0.0,
40,ODD,ODDITY TECH CLASS A,Consumer Staples,0.0,Deep v4 Shape Embedding 确认层 数据不足,16.48,67.01,4.84,0.23630908,0.16631281,0.30122385,98.2,67.05,58.8,80.0,36.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v4 Shape Embedding 确认层,no,0.0,
41,PPHC,PUBLIC POLICY HOLDING INC,Industrials,0.0,Deep v4 Shape Embedding 确认层 数据不足,11.38,54.97,1.14,0.03313663,0.03926941,0.09898600,73.0,66.32,100.0,80.89,100.0,72.0,mixed_sideways,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v4 Shape Embedding 确认层,no,0.0,
