current_rank,ticker,name,sector,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,ARM,Arm Holdings plc - American Depositary Shares,,1,407.72,,1,409.43,-0.072225
2,BIIB,Biogen,Health Care,2,199.71,,63,199.03,0.01592227
3,UAL,United Airlines Holdings,Industrials,3,118.68,,38,119.47,0.0030426
4,PCAR,Paccar,Industrials,4,120.12,,9,119.85,0.00983607
5,MEDP,"Medpace Holdings, Inc. - Common Stock",,5,455.66,,53,451.84,-0.00986528
6,MRVL,Marvell Technology,Information Technology,6,307.86,,10,307.22,-0.00875781
7,ADI,Analog Devices,Information Technology,7,445.48,,30,442.885,0.02536482
8,BKNG,Booking Holdings,Consumer Discretionary,8,167.77,,4,169.42,-0.02334381
9,ARGX,argenx SE - American Depositary Shares,,9,903.75,,52,909.23,0.02965638
10,AMGN,Amgen,Health Care,10,344.72,,7,344.46,0.02109005
11,NTRA,"Natera, Inc. - Common Stock",,11,228.8,,6,226.47,-0.01127868
12,COO,Cooper Companies (The),Health Care,12,65.42,,8,65.605,-0.00743438
13,VRTX,Vertex Pharmaceuticals,Health Care,13,466.79,,17,465.745,0.0335673
14,FTAI,FTAI Aviation Ltd. - Common Stock,,14,272.05,,3,272.925,-0.01470428
15,MCHP,Microchip Technology,Information Technology,15,102.71,,23,102.245,0.02946778
16,DASH,DoorDash,Consumer Discretionary,16,172.08,,29,176.505,-0.00795572
17,ROST,Ross Stores,Consumer Discretionary,17,236.97,,13,236.8,0.01791237
18,NDSN,Nordson Corporation,Industrials,18,295.06,,16,295.05,-0.00290619
19,RYAAY,"Ryanair Holdings plc - American Depositary Shares, each representing five Ordinary Shares",,19,62.74,,65,63.21,0.02449379
20,EXPE,Expedia Group,Consumer Discretionary,20,238.02,,12,238.41,-0.01195517
21,TTWO,Take-Two Interactive,Communication Services,21,239.57,,41,238.83,0.00121197
22,GFS,GlobalFoundries Inc. - Ordinary Share,,22,89.67,,40,90.23,0.0447396
23,NBIS,Nebius Group N.V. - Class A Ordinary Shares,,23,283.61,,37,287.55,-0.01074331
24,LECO,"Lincoln Electric Holdings, Inc. - Common Shares",,24,274.75,,20,273.0775,-0.001744
25,HON,Honeywell,Industrials,25,228.11,,15,229.21,-0.00392996
26,STX,Seagate Technology,Information Technology,26,1094.04,,36,1096.6275,0.02224755
27,TEM,"Tempus AI, Inc. - Class A Common Stock",,27,47.85,,11,48.6,-0.05881196
28,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,28,302.52,,18,303.715,0.11290145
29,LNT,Alliant Energy,Utilities,29,73.21,,33,73.6,0.00287671
30,ABNB,Airbnb,Consumer Discretionary,30,139.19,,19,139.2,-0.02261077
