buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-07-22,2026-07-30,Early,S&P 500,DVN,Devon Energy,Energy,1,41,-0.01538125,44.860001,44.169998,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,GM,General Motors,Consumer Discretionary,2,207,0.07634245,82.129997,88.400002,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,COIN,Coinbase,Financials,3,10,-0.01529011,166.119995,163.580002,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,APA,APA Corporation,Energy,4,18,0.00414599,36.180000,36.330002,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,TXT,Textron,Industrials,5,371,-0.05001371,91.675003,87.089996,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,LYB,LyondellBasell,Materials,6,115,-0.02954400,62.279999,60.439999,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方
2026-07-22,2026-07-30,Early,S&P 500,SWK,Stanley Black & Decker,Industrials,7,68,0.07034845,89.269997,95.550003,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,CEG,Constellation Energy,Utilities,8,44,-0.04125135,274.899994,263.559998,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H MACD 柱体连续扩张
2026-07-22,2026-07-30,Early,S&P 500,TAP,Molson Coors Beverage Company,Consumer Staples,9,29,0.01267365,41.029999,41.549999,4H当日前50,4H EMA 多头排列已连续维持；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,MOS,Mosaic Company (The),Materials,10,15,-0.00087762,22.790001,22.770000,4H当日前50,4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,FOXA,Fox Corporation (Class A),Communication Services,11,28,0.04198404,56.450001,58.820000,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认；4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,DUK,Duke Energy,Utilities,12,341,-0.01289869,127.919998,126.269997,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,HPE,Hewlett Packard Enterprise,Information Technology,13,215,-0.02097408,48.149899,47.139999,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,ULTA,Ulta Beauty,Consumer Discretionary,14,104,0.06868380,483.519989,516.729980,4H当日前50,4H MACD 位于 Signal 上方；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,ADSK,Autodesk,Information Technology,15,47,0.15464374,203.500000,234.970001,4H当日前50,4H EMA9 已站上 EMA26，等待 26/50 确认
2026-07-22,2026-07-30,Early,S&P 500,ALLE,Allegion,Industrials,16,226,0.12145658,140.050003,157.059998,4H当日前50,4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,DELL,Dell Technologies,Information Technology,17,403,-0.08372565,441.799988,404.809998,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 刚金叉但仍需零轴确认；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,ED,Consolidated Edison,Utilities,18,361,-0.02176623,112.099998,109.660004,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,DGX,Quest Diagnostics,Health Care,19,236,0.11576741,209.990005,234.300003,4H当日前50,4H EMA9/26 最近金叉且价格在 EMA50 上方；4H MACD 零轴上方刚金叉；4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
2026-07-22,2026-07-30,Early,S&P 500,NEE,NextEra Energy,Utilities,20,213,-0.01644298,89.400002,87.930000,4H当日前50,4H MACD 柱体连续扩张；4H RSI 位于健康强势区间
