rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,FTNT,Fortinet,Information Technology,66.72,Deep v4 Shape Embedding 确认层 一般确认,170.179993,65.12,1.26,0.09436988,0.08894289,0.02840221,98.2,79.08,68.6,81.12,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 66.7,Deep v4 Shape Embedding 确认层,no,66.72,2026-09-14
2,TDC,TERADATA,Information Technology,64.64,Deep v4 Shape Embedding 确认层 一般确认,29.360001,63.05,1.55,0.05044723,0.04670239,0.06203657,92.8,43.47,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 64.6,Deep v4 Shape Embedding 确认层,no,64.64,2026-09-14
3,ZS,"Zscaler, Inc. - Common Stock",,62.73,Deep v4 Shape Embedding 确认层 一般确认,191.729996,66.32,1.43,0.17345001,0.13141737,0.01891905,92.8,67.4,57.4,81.12,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 62.7,Deep v4 Shape Embedding 确认层,no,62.73,2026-09-14
4,DVA,DaVita,Health Care,60.73,Deep v4 Shape Embedding 确认层 一般确认,189.369995,63.37,1.29,0.03602588,0.02924066,0.05743076,87.7,57.51,91.6,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 60.7,Deep v4 Shape Embedding 确认层,no,60.73,2026-09-14
5,NAVI,NAVIENT,Financials,59.51,Deep v4 Shape Embedding 确认层 一般确认,9.78,63.14,2.38,0.05901462,0.01557632,0.05844156,98.2,54.57,91.6,80.89,100.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 59.5,Deep v4 Shape Embedding 确认层,no,59.51,2026-09-14
6,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,59.34,Deep v4 Shape Embedding 确认层 一般确认,138.494995,58.37,1.47,0.05159452,0.01083863,0.03162007,98.2,66.8,80.4,81.12,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 59.3,Deep v4 Shape Embedding 确认层,no,59.34,2026-09-14
7,SPSC,SPS COMMERCE,Information Technology,59.25,Deep v4 Shape Embedding 确认层 一般确认,83.029999,57.02,0.87,0.01243747,0.00048200,0.04624493,98.2,54.51,88.8,80.89,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 59.2,Deep v4 Shape Embedding 确认层,no,59.25,2026-09-14
8,GDDY,GoDaddy,Information Technology,58.12,Deep v4 Shape Embedding 确认层 一般确认,104.459999,62.92,1.09,0.07124730,0.03109270,0.03940298,98.2,54.11,91.6,80.44,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 58.1,Deep v4 Shape Embedding 确认层,no,58.12,2026-09-14
9,CRWD,CrowdStrike,Information Technology,57.52,Deep v4 Shape Embedding 确认层 一般确认,235.380005,65.72,1.2,0.14490009,0.10460373,0.04362868,98.2,56.57,68.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 57.5,Deep v4 Shape Embedding 确认层,no,57.52,2026-09-14
10,MMS,MAXIMUS,Industrials,56.3,Deep v4 Shape Embedding 确认层 一般确认,59.360001,61.24,1.39,0.04672901,0.02948319,0.05848785,92.8,47.82,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 56.3,Deep v4 Shape Embedding 确认层,no,56.3,2026-09-14
11,HNGE,HINGE HEALTH CLASS A,Health Care,56.04,Deep v4 Shape Embedding 确认层 一般确认,94.828003,60.07,1.38,0.05387864,0.02572208,0.08412029,98.2,55.01,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 56.0,Deep v4 Shape Embedding 确认层,no,56.04,2026-09-14
12,RDNT,RADNET,Health Care,55.6,Deep v4 Shape Embedding 确认层 一般确认,75.489998,56.52,1.35,0.01356062,0.02456566,-0.02354159,92.8,53.94,81.1,81.12,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 55.6,Deep v4 Shape Embedding 确认层,no,55.6,2026-09-14
13,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,52.3,Deep v4 Shape Embedding 确认层 未确认,35.990002,59.81,1.53,0.01709775,0.02564839,0.03897237,87.7,48.3,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 52.3,Deep v4 Shape Embedding 确认层,no,52.3,2026-09-14
14,CTSH,Cognizant,Information Technology,52.04,Deep v4 Shape Embedding 确认层 未确认,64.099998,61.73,1.45,0.08533689,0.02864477,0.08094434,92.8,57.17,78.4,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 52.0,Deep v4 Shape Embedding 确认层,no,52.04,2026-09-14
15,MQ,MARQETA CLASS A,Financials,51.26,Deep v4 Shape Embedding 确认层 未确认,16.58,55.46,1.16,0.00851575,0.00060350,0.00759648,98.2,42.6,77.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 51.3,Deep v4 Shape Embedding 确认层,no,51.26,2026-09-14
16,ASTH,ASTRANA HEALTH,Health Care,49.78,Deep v4 Shape Embedding 确认层 未确认,39.599998,62.78,1.87,0.04858994,0.02964116,0.04761902,92.8,48.21,91.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 49.8,Deep v4 Shape Embedding 确认层,no,49.78,2026-09-14
17,COIN,Coinbase,Financials,43.87,Deep v4 Shape Embedding 确认层 未确认,191.449997,60.36,1.05,0.07853080,0.03688257,0.24398963,98.2,71.82,81.8,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 43.9,Deep v4 Shape Embedding 确认层,no,43.87,2026-09-14
18,FOXA,Fox Corporation (Class A),Communication Services,43.53,Deep v4 Shape Embedding 确认层 未确认,68.529999,60.67,0.79,0.04434617,0.04753900,0.04689887,92.8,57.01,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 43.5,Deep v4 Shape Embedding 确认层,no,43.53,2026-09-14
19,GOOGL,Alphabet Inc. (Class A),Communication Services,35.53,Deep v4 Shape Embedding 确认层 未确认,349.390015,61.66,1.18,0.02541603,0.03217139,0.00860255,90.4,56.73,88.8,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 35.5,Deep v4 Shape Embedding 确认层,no,35.53,2026-09-14
20,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,33.36,Deep v4 Shape Embedding 确认层 未确认,200.669998,65.72,1.56,0.05632467,0.05983945,0.05532477,98.2,54.97,91.6,81.12,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 33.4,Deep v4 Shape Embedding 确认层,no,33.36,2026-09-14
21,VRSN,Verisign,Information Technology,33.1,Deep v4 Shape Embedding 确认层 未确认,298.600006,60.98,1.21,0.02354915,0.02221773,0.03978417,82.9,66.28,100.0,81.12,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 33.1,Deep v4 Shape Embedding 确认层,no,33.1,2026-09-14
22,IMAX,IMAX,Communication,30.32,Deep v4 Shape Embedding 确认层 未确认,53.439999,61.32,1.17,0.03076474,0.03465628,0.00300300,98.2,53.77,88.8,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 30.3,Deep v4 Shape Embedding 确认层,no,30.32,2026-09-14
23,GOOG,Alphabet Inc. (Class C),Communication Services,27.45,Deep v4 Shape Embedding 确认层 未确认,345.709991,61.53,1.34,0.02377990,0.03113909,0.00502930,90.4,56.66,88.8,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 27.4,Deep v4 Shape Embedding 确认层,no,27.45,2026-09-14
24,CI,Cigna,Health Care,25.37,Deep v4 Shape Embedding 确认层 未确认,290.170013,65.82,1.19,0.03910479,0.02707782,0.04340168,98.2,71.94,91.6,80.44,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 25.4,Deep v4 Shape Embedding 确认层,no,25.37,2026-09-14
25,TMUS,T-Mobile US,Communication Services,24.33,Deep v4 Shape Embedding 确认层 未确认,182.899994,52.75,0.77,-0.00263550,0.00754693,-0.00267193,92.8,66.34,69.9,81.12,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v4 Shape Embedding 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 24.3,Deep v4 Shape Embedding 确认层,no,24.33,2026-09-14
